"code","npias","name","city","state","ADO","service_level","district","fiscal_year","description","grant_number","airport_id","total","entitlement_total","discretionary_total","stimulus_total"
"51D","38-0079","Edgeley Municipal","Edgeley","ND","BIS","GA",1,2008,"Rehabilitate Runway - 14/32, Update Airport Master Plan Study","3-38-0079-007-2008","51D",39985.00,39059.00,926.00,0.00
"51D","38-0079","Edgeley Municipal","Edgeley","ND","BIS","GA",1,2009,"Construct Taxiway, Rehabilitate Runway - 14/32","3-38-0079-008-2009","51D",30537.00,30537.00,0.00,0.00
"51D","38-0079","Edgeley Municipal","Edgeley","ND","BIS","GA",1,2009,"Construct Taxiway","3-38-0079-009-2009","51D",148298.00,148298.00,0.00,0.00
"4E7","38-0016","Ellendale Municipal","Ellendale","ND","BIS","",,,"","","",,,,
"FAR","38-0017","Hector International","Fargo","ND","BIS","P",1,2005,"Construct Service Road [Service road recommended by RSAT.], Rehabilitate Runway - 18/36","3-38-0017-030-2005","FAR",1750000.00,0.00,1750000.00,0.00
"FAR","38-0017","Hector International","Fargo","ND","BIS","P",1,2006,"Rehabilitate Apron, Rehabilitate Taxiway","3-38-0017-031-2006","FAR",1702683.00,1702683.00,0.00,0.00
"FAR","38-0017","Hector International","Fargo","ND","BIS","P",1,2007,"Expand Terminal Building","3-38-0017-032-2007","FAR",2702601.00,2702601.00,0.00,0.00
"FAR","38-0017","Hector International","Fargo","ND","BIS","P",1,2007,"Expand Terminal Building","3-38-0017-033-2007","FAR",2987296.00,87296.00,2900000.00,0.00
"FAR","38-0017","Hector International","Fargo","ND","BIS","P",1,2008,"Expand Apron","3-38-0017-034-2008","FAR",1678707.00,1678707.00,0.00,0.00
"FAR","38-0017","Hector International","Fargo","ND","BIS","P",1,2009,"Improve Airport Drainage [Environmental review]","3-38-0017-035-2009","FAR",63886.00,63886.00,0.00,0.00
"FAR","38-0017","Hector International","Fargo","ND","BIS","P",1,2009,"Improve Airport Drainage [construction]","3-38-0017-036-2009","FAR",610095.00,610095.00,0.00,0.00
"Y27","38-0018","Standing Rock","Fort Yates","ND","BIS","GA",1,2007,"Rehabilitate Runway [Phase 2] - 14/32","3-38-0018-003-2007","Y27",104207.00,104207.00,0.00,0.00
"Y27","38-0018","Standing Rock","Fort Yates","ND","BIS","GA",1,2008,"Rehabilitate Apron","3-38-0018-004-2008","Y27",114045.00,114045.00,0.00,0.00
"Y27","38-0018","Standing Rock","Fort Yates","ND","BIS","GA",1,2009,"Install Perimeter Fencing, Rehabilitate Runway Lighting - 14/32, Remove Obstructions","3-38-0018-005-2009","Y27",705955.00,705955.00,0.00,0.00
"Y27","38-0018","Standing Rock","Fort Yates","ND","BIS","GA",1,2009,"Rehabilitate Runway - 14/32","3-38-0018-006-2009","Y27",1018000.00,0.00,0.00,1018000.00
"D05","38-0019","Garrison Municipal","Garrison","ND","BIS","GA",1,2006,"Construct Building, Install Runway Vertical/Visual Guidance System - 13/31, Rehabilitate Runway - 13/31","3-38-0019-005-2006","D05",204695.00,204695.00,0.00,0.00
"D05","38-0019","Garrison Municipal","Garrison","ND","BIS","GA",1,2009,"Acquire Snow Removal Equipment, Rehabilitate Runway - 13/31","3-38-0019-006-2009","D05",143168.00,143168.00,0.00,0.00
"D57","38-0020","Glen Ullin Regional","Glen Ullin","ND","BIS","GA",1,2005,"Construct Building, Rehabilitate Runway - 11/29","3-38-0020-005-2005","D57",40180.00,40180.00,0.00,0.00
"D57","38-0020","Glen Ullin Regional","Glen Ullin","ND","BIS","GA",1,2006,"Construct Building, Remove Obstructions","3-38-0020-006-2006","D57",207272.00,207272.00,0.00,0.00
"D57","38-0020","Glen Ullin Regional","Glen Ullin","ND","BIS","GA",1,2007,"Improve Access Road, Rehabilitate Runway - 11/29","3-38-0020-007-2007","D57",185171.00,185171.00,0.00,0.00
"D57","38-0020","Glen Ullin Regional","Glen Ullin","ND","BIS","GA",1,2008,"Rehabilitate Runway - 11/29","3-38-0020-008-2008","D57",95000.00,95000.00,0.00,0.00
"GAF","38-0021","Hutson Field","Grafton","ND","BIS","GA",1,2005,"Construct Fuel Farm, Rehabilitate Runway - 17/35","3-38-0021-004-2005","GAF",97510.00,97510.00,0.00,0.00
"GAF","38-0021","Hutson Field","Grafton","ND","BIS","GA",1,2006,"Construct Building, Rehabilitate Runway - 17/35","3-38-0021-005-2006","GAF",299123.00,294345.00,4778.00,0.00
"GAF","38-0021","Hutson Field","Grafton","ND","BIS","GA",1,2007,"Improve Runway Safety Area - 17/35, Rehabilitate Runway - 08/26, Rehabilitate Runway - 17/35","3-38-0021-006-2007","GAF",72632.00,66972.00,5660.00,0.00
"GFK","38-0022","Grand Forks International","Grand Forks","ND","BIS","P",1,2005,"Acquire Snow Removal Equipment, Environmental Mitigation [wildlife attractant], Rehabilitate Runway - 17R/35L, Update Airport Master Plan Study [Phase 1 Airport facilities / needs]","3-38-0022-029-2005","GFK",860782.00,860782.00,0.00,0.00
"GFK","38-0022","Grand Forks International","Grand Forks","ND","BIS","P",1,2006,"Acquire Snow Removal Equipment, Environmental Mitigation, Security Enhancements, Update Airport Master Plan Study [Phase 2]","3-38-0022-030-2006","GFK",1983368.00,1983368.00,0.00,0.00
"GFK","38-0022","Grand Forks International","Grand Forks","ND","BIS","P",1,2007,"Environmental Mitigation [Wildlife mitigation - English coulee]","3-38-0022-031-2007","GFK",2487247.00,1487247.00,1000000.00,0.00
"GFK","38-0022","Grand Forks International","Grand Forks","ND","BIS","P",1,2008,"Construct Runway [Construct Runway] - Plan-1","3-38-0022-032-2008","GFK",5949457.00,974457.00,4975000.00,0.00
"GFK","38-0022","Grand Forks International","Grand Forks","ND","BIS","P",1,2008,"Construct Runway [improve drainage] - Plan-1","3-38-0022-033-2008","GFK",92748.00,92748.00,0.00,0.00
"GFK","38-0022","Grand Forks International","Grand Forks","ND","BIS","P",1,2009,"Construct Terminal Building [Design]","3-38-0022-034-2009","GFK",371734.00,371734.00,0.00,0.00
"GFK","38-0022","Grand Forks International","Grand Forks","ND","BIS","P",1,2009,"Construct Terminal Building","3-38-0022-035-2009","GFK",4459615.00,0.00,0.00,4459615.00
"GFK","38-0022","Grand Forks International","Grand Forks","ND","BIS","P",1,2009,"Construct Terminal Building [Construction Phase 2]","3-38-0022-036-2009","GFK",4476348.00,876348.00,3600000.00,0.00
"GFK","38-0022","Grand Forks International","Grand Forks","ND","BIS","P",1,2009,"Construct Terminal Building [Building Construction Phase 3]","3-38-0022-037-2009","GFK",2400000.00,0.00,2400000.00,0.00
"GWR","38-0023","Gwinner-Roger Melroe Field","Gwinner","ND","BIS","GA",1,2005,"Construct Building","3-38-0023-004-2005","GWR",278410.00,278410.00,0.00,0.00
"GWR","38-0023","Gwinner-Roger Melroe Field","Gwinner","ND","BIS","GA",1,2006,"Conduct Airport Master Plan Study, Rehabilitate Runway - 16/34","3-38-0023-005-2006","GWR",60800.00,60800.00,0.00,0.00
"GWR","38-0023","Gwinner-Roger Melroe Field","Gwinner","ND","BIS","GA",1,2007,"Acquire Land For Approaches","3-38-0023-006-2007","GWR",181812.00,181812.00,0.00,0.00
"GWR","38-0023","Gwinner-Roger Melroe Field","Gwinner","ND","BIS","GA",1,2008,"Acquire Land For Approaches, Rehabilitate Runway - 16/34","3-38-0023-007-2008","GWR",264825.00,264825.00,0.00,0.00
"GWR","38-0023","Gwinner-Roger Melroe Field","Gwinner","ND","BIS","GA",1,2009,"Construct Access Road, Construct Apron, Construct Taxiway, Rehabilitate Runway - 16/34","3-38-0023-008-2009","GWR",43700.00,43700.00,0.00,0.00
"5H4","38-0071","Harvey Municipal","Harvey","ND","BIS","GA",1,2006,"Install Miscellaneous NAVAIDS, Rehabilitate Apron, Rehabilitate Runway - 11/29, Rehabilitate Taxiway","3-38-0071-003-2006","5H4",609457.00,609457.00,0.00,0.00
"5H4","38-0071","Harvey Municipal","Harvey","ND","BIS","GA",1,2008,"Construct Taxiway, Rehabilitate Runway - 11/29, Remove Obstructions","3-38-0071-004-2008","5H4",215008.00,215008.00,0.00,0.00
"5H4","38-0071","Harvey Municipal","Harvey","ND","BIS","GA",1,2009,"Construct Fuel Farm, Install Miscellaneous NAVAIDS","3-38-0071-005-2009","5H4",77604.00,77604.00,0.00,0.00
"5H4","38-0071","Harvey Municipal","Harvey","ND","BIS","GA",1,2009,"Update Airport Master Plan Study","3-38-0071-006-2009","5H4",122706.00,122706.00,0.00,0.00
"5H4","38-0071","Harvey Municipal","Harvey","ND","BIS","GA",1,2009,"Acquire Snow Removal Equipment","3-38-0071-007-2009","5H4",136660.00,136660.00,0.00,0.00
"HZE","38-0075","Mercer County Regional","Hazen","ND","BIS","GA",1,2006,"Rehabilitate Runway - 14/32, Update Airport Master Plan Study","3-38-0075-005-2006","HZE",86642.00,86642.00,0.00,0.00
"HZE","38-0075","Mercer County Regional","Hazen","ND","BIS","GA",1,2007,"Construct Building, Rehabilitate Runway - 14/32","3-38-0075-006-2007","HZE",328280.00,319788.00,8492.00,0.00
"HZE","38-0075","Mercer County Regional","Hazen","ND","BIS","GA",1,2008,"Construct Fuel Farm, Rehabilitate Runway - 14/32","3-38-0075-007-2008","HZE",45149.00,45149.00,0.00,0.00
"HZE","38-0075","Mercer County Regional","Hazen","ND","BIS","GA",1,2009,"Acquire Snow Removal Equipment","3-38-0075-008-2009","HZE",35298.00,35298.00,0.00,0.00
"HEI","38-0026","Hettinger Municipal","Hettinger","ND","BIS","GA",1,2005,"Construct Fuel Farm, Rehabilitate Runway - 12/30, Update Airport Master Plan Study","3-38-0026-007-2005","HEI",216795.00,216476.00,319.00,0.00
"HEI","38-0026","Hettinger Municipal","Hettinger","ND","BIS","GA",1,2006,"Construct Building","3-38-0026-008-2006","HEI",409692.00,409692.00,0.00,0.00
"HEI","38-0026","Hettinger Municipal","Hettinger","ND","BIS","GA",1,2009,"Acquire Snow Removal Equipment, Rehabilitate Airport Beacons, Rehabilitate Runway - 12/30","3-38-0026-009-2009","HEI",110298.00,110298.00,0.00,0.00
"3H4","38-0062","Hillsboro Municipal","Hillsboro","ND","BIS","GA",1,2005,"Construct Building, Construct Fuel Farm","3-38-0062-008-2005","3H4",193138.00,193138.00,0.00,0.00
"3H4","38-0062","Hillsboro Municipal","Hillsboro","ND","BIS","GA",1,2006,"Conduct Airport Master Plan Study, Construct Apron","3-38-0062-009-2006","3H4",186222.00,186222.00,0.00,0.00
"3H4","38-0062","Hillsboro Municipal","Hillsboro","ND","BIS","GA",1,2006,"Construct Building","3-38-0062-010-2006","3H4",332133.00,332133.00,0.00,0.00
"3H4","38-0062","Hillsboro Municipal","Hillsboro","ND","BIS","GA",1,2008,"Acquire Snow Removal Equipment, Construct Building","3-38-0062-011-2008","3H4",42657.00,42657.00,0.00,0.00
"3H4","38-0062","Hillsboro Municipal","Hillsboro","ND","BIS","GA",1,2009,"Acquire Land For Approaches, Acquire Snow Removal Equipment, Improve Terminal Building, Rehabilitate Apron, Rehabilitate Runway - 16/34, Rehabilitate Taxiway","3-38-0062-012-2009","3H4",254222.00,254222.00,0.00,0.00
"JMS","38-0028","Jamestown Regional","Jamestown","ND","BIS","GA",1,2005,"Install Perimeter Fencing, Install Runway Lighting - 13/31, Rehabilitate Runway - 13/31","3-38-0028-024-2005","JMS",5220307.00,537916.00,4682391.00,0.00
"JMS","38-0028","Jamestown Regional","Jamestown","ND","BIS","GA",1,2006,"Acquire Land For Approaches, Acquire Safety Equipment and/or Fencing, Construct Aircraft Rescue & Fire Fighting Building, Construct Snow Removal Equipment Building","3-38-0028-025-2006","JMS",1817692.00,850328.00,967364.00,0.00
"JMS","38-0028","Jamestown Regional","Jamestown","ND","BIS","GA",1,2007,"Extend Taxiway, Rehabilitate Runway - 04/22, Update Airport Master Plan Study","3-38-0028-026-2007","JMS",995600.00,495600.00,500000.00,0.00
"JMS","38-0028","Jamestown Regional","Jamestown","ND","BIS","GA",1,2008,"Conduct Airport Master Plan Study, Environmental Mitigation","3-38-0028-027-2008","JMS",125447.00,125447.00,0.00,0.00
"JMS","38-0028","Jamestown Regional","Jamestown","ND","BIS","GA",1,2009,"Rehabilitate Runway - 04/22, Rehabilitate Runway - 13/31","3-38-0028-028-2009","JMS",446500.00,446500.00,0.00,0.00
"JMS","38-0028","Jamestown Regional","Jamestown","ND","BIS","GA",1,2009,"Expand Terminal Building","3-38-0028-029-2009","JMS",207850.00,207850.00,0.00,0.00
"JMS","38-0028","Jamestown Regional","Jamestown","ND","BIS","GA",1,2009,"Acquire Snow Removal Equipment, Environmental Mitigation, Rehabilitate Runway - 04/22","3-38-0028-030-2009","JMS",604090.00,604090.00,0.00,0.00
"7K5","38-0029","Kenmare Municipal","Kenmare","ND","BIS","GA",1,2005,"Acquire Snow Removal Equipment","3-38-0029-005-2005","7K5",114768.00,114768.00,0.00,0.00
"7K5","38-0029","Kenmare Municipal","Kenmare","ND","BIS","GA",1,2006,"Construct Snow Removal Equipment Building, Rehabilitate Runway - 08/26","3-38-0029-006-2006","7K5",144280.00,144280.00,0.00,0.00
"7K5","38-0029","Kenmare Municipal","Kenmare","ND","BIS","GA",1,2007,"Construct Taxiway, Rehabilitate Runway - 08/26","3-38-0029-007-2007","7K5",214194.00,214194.00,0.00,0.00
"7K5","38-0029","Kenmare Municipal","Kenmare","ND","BIS","GA",1,2008,"Improve Access Road, Rehabilitate Apron, Rehabilitate Runway - 08/26","3-38-0029-008-2008","7K5",73140.00,73140.00,0.00,0.00
"K74","38-0068","Hamry Field","Kindred","ND","BIS","GA",1,2005,"Construct Building, Construct Snow Removal Equipment Building, Construct Taxiway","3-38-0068-006-2005","K74",163663.00,161607.00,2056.00,0.00
"K74","38-0068","Hamry Field","Kindred","ND","BIS","GA",1,2006,"Construct Fuel Farm, Rehabilitate Runway - 12/30","3-38-0068-007-2006","K74",80199.00,80199.00,0.00,0.00
"K74","38-0068","Hamry Field","Kindred","ND","BIS","GA",1,2007,"Construct Access Road, Construct Taxiway, Rehabilitate Runway - 12/30","3-38-0068-008-2007","K74",191957.00,191957.00,0.00,0.00
"K74","38-0068","Hamry Field","Kindred","ND","BIS","GA",1,2008,"Construct Access Road, Construct Taxiway, Rehabilitate Runway - 12/30","3-38-0068-009-2008","K74",160631.00,160631.00,0.00,0.00
"K74","38-0068","Hamry Field","Kindred","ND","BIS","GA",1,2009,"Construct Building","3-38-0068-010-2009","K74",377569.00,377569.00,0.00,0.00
"5L0","38-0080","Lakota Municipal","Lakota","ND","BIS","GA",1,2005,"Construct Taxiway, Rehabilitate Runway - 15/33","3-38-0080-005-2005","5L0",205731.00,192364.00,13367.00,0.00
"5L0","38-0080","Lakota Municipal","Lakota","ND","BIS","GA",1,2008,"Construct Building, Rehabilitate Runway - 15/33","3-38-0080-006-2008","5L0",35107.00,35107.00,0.00,0.00
"5L0","38-0080","Lakota Municipal","Lakota","ND","BIS","GA",1,2009,"Construct Building","3-38-0080-007-2009","5L0",555750.00,555750.00,0.00,0.00
"4F9","38-0070","LaMoure Rott Municipal","LaMoure","ND","BIS","GA",1,2006,"Acquire Snow Removal Equipment, Rehabilitate Runway - 16/34","3-38-0070-003-2006","4F9",103903.00,103903.00,0.00,0.00
"4F9","38-0070","LaMoure Rott Municipal","LaMoure","ND","BIS","GA",1,2008,"Conduct Environmental Study","3-38-0070-004-2008","4F9",90074.00,90074.00,0.00,0.00
"D55","38-0031","Robertson Field","Langdon","ND","BIS","GA",1,2006,"Construct Snow Removal Equipment Building","3-38-0031-004-2006","D55",252632.00,252632.00,0.00,0.00
"D55","38-0031","Robertson Field","Langdon","ND","BIS","GA",1,2007,"Rehabilitate Runway - 14/32, Update Airport Master Plan Study","3-38-0031-005-2007","D55",55571.00,55571.00,0.00,0.00
"D55","38-0031","Robertson Field","Langdon","ND","BIS","GA",1,2008,"Rehabilitate Runway - 14/32, Update Airport Master Plan Study","3-38-0031-006-2008","D55",27875.00,27875.00,0.00,0.00
"D55","38-0031","Robertson Field","Langdon","ND","BIS","GA",1,2009,"Improve Terminal Building, Rehabilitate Runway - 14/32","3-38-0031-007-2009","D55",45824.00,45824.00,0.00,0.00
"D55","38-0031","Robertson Field","Langdon","ND","BIS","GA",1,2009,"Rehabilitate Apron, Rehabilitate Runway Lighting - 14/32","3-38-0031-008-2009","D55",82353.00,82353.00,0.00,0.00
"7L2","38-0033","Linton Municipal","Linton","ND","BIS","GA",1,2005,"Acquire Snow Removal Equipment, Construct Building","3-38-0033-004-2005","7L2",228992.00,226148.00,2844.00,0.00
"7L2","38-0033","Linton Municipal","Linton","ND","BIS","GA",1,2005,"Acquire Land For Approaches","3-38-0033-005-2005","7L2",56371.00,56371.00,0.00,0.00
"7L2","38-0033","Linton Municipal","Linton","ND","BIS","GA",1,2006,"Improve Snow Removal Equipment Building, Install Miscellaneous NAVAIDS, Install Runway Vertical/Visual Guidance System - 09/27, Rehabilitate Runway - 09/27, Update Miscellaneous Study","3-38-0033-006-2006","7L2",87817.00,87817.00,0.00,0.00
"7L2","38-0033","Linton Municipal","Linton","ND","BIS","GA",1,2007,"Construct Fuel Farm","3-38-0033-007-2007","7L2",101453.00,101453.00,0.00,0.00
"7L2","38-0033","Linton Municipal","Linton","ND","BIS","GA",1,2008,"Acquire Snow Removal Equipment, Rehabilitate Runway - 09/27, Update Airport Master Plan Study","3-38-0033-008-2008","7L2",37310.00,37310.00,0.00,0.00
"7L2","38-0033","Linton Municipal","Linton","ND","BIS","GA",1,2009,"Improve Terminal Building, Rehabilitate Apron, Rehabilitate Runway - 09/27, Rehabilitate Taxiway","3-38-0033-009-2009","7L2",88053.00,88053.00,0.00,0.00
"6L3","38-0081","Lisbon Municipal","Lisbon","ND","BIS","GA",1,2005,"Conduct Airport Master Plan Study, Construct Apron, Construct Taxiway, Install Miscellaneous NAVAIDS, Install Miscellaneous NAVAIDS, Remove Obstructions","3-38-0081-002-2005","6L3",251978.00,251978.00,0.00,0.00
"6L3","38-0081","Lisbon Municipal","Lisbon","ND","BIS","GA",1,2006,"Acquire Land For Approaches, Extend Runway - 14/32, Rehabilitate Runway - 14/32, Remove Obstructions","3-38-0081-003-2006","6L3",1567369.00,367369.00,1200000.00,0.00
"6L3","38-0081","Lisbon Municipal","Lisbon","ND","BIS","GA",1,2007,"Expand Apron, Improve Access Road, Install Airfield Guidance Signs, Update Airport Master Plan Study","3-38-0081-004-2007","6L3",149660.00,149660.00,0.00,0.00
"6L3","38-0081","Lisbon Municipal","Lisbon","ND","BIS","GA",1,2008,"Construct Building, Rehabilitate Runway - 14/32","3-38-0081-005-2008","6L3",111899.00,111899.00,0.00,0.00
"6L3","38-0081","Lisbon Municipal","Lisbon","ND","BIS","GA",1,2008,"Construct Building","3-38-0081-006-2008","6L3",49235.00,49235.00,0.00,0.00
"6L3","38-0081","Lisbon Municipal","Lisbon","ND","BIS","GA",1,2009,"Construct Fuel Farm, Widen Taxiway","3-38-0081-007-2009","6L3",73792.00,73792.00,0.00,0.00
"6L3","38-0081","Lisbon Municipal","Lisbon","ND","BIS","GA",1,2009,"Construct Taxiway, Rehabilitate Runway - 14/32","3-38-0081-008-2009","6L3",162116.00,162116.00,0.00,0.00
"Y19","38-0035","Mandan Municipal","Mandan","ND","BIS","GA",1,2005,"Rehabilitate Apron [Plans and specs], Rehabilitate Runway - 13/31, Rehabilitate Taxiway","3-38-0035-009-2005","Y19",67593.00,67593.00,0.00,0.00
"Y19","38-0035","Mandan Municipal","Mandan","ND","BIS","GA",1,2006,"Construct Taxiway, Rehabilitate Apron, Rehabilitate Taxiway","3-38-0035-010-2006","Y19",1048816.00,1048816.00,0.00,0.00
"Y19","38-0035","Mandan Municipal","Mandan","ND","BIS","GA",1,2007,"Rehabilitate Taxiway","3-38-0035-011-2007","Y19",495539.00,495539.00,0.00,0.00
"Y19","38-0035","Mandan Municipal","Mandan","ND","BIS","GA",1,2008,"Acquire Land For Approaches, Install Miscellaneous NAVAIDS","3-38-0035-012-2008","Y19",298300.00,298300.00,0.00,0.00
"Y19","38-0035","Mandan Municipal","Mandan","ND","BIS","GA",1,2009,"Construct Access Road, Construct Taxiway, Rehabilitate Runway - 13/31","3-38-0035-013-2009","Y19",239400.00,239400.00,0.00,0.00
"MOT","38-0037","Minot International","Minot","ND","BIS","P",1,2005,"Rehabilitate Apron","3-38-0037-033-2005","MOT",951590.00,948005.00,3585.00,0.00
"MOT","38-0037","Minot International","Minot","ND","BIS","P",1,2007,"Rehabilitate Apron","3-38-0037-034-2007","MOT",1535710.00,1535710.00,0.00,0.00
"MOT","38-0037","Minot International","Minot","ND","BIS","P",1,2007,"Acquire Snow Removal Equipment, Rehabilitate Runway - 08/26, Update Airport Master Plan Study","3-38-0037-035-2007","MOT",908100.00,908100.00,0.00,0.00
"MOT","38-0037","Minot International","Minot","ND","BIS","P",1,2008,"Acquire Friction Measuring Equipment, Improve Terminal Building, Install Runway Incursion Caution Bars","3-38-0037-036-2008","MOT",213297.00,213297.00,0.00,0.00
"MOT","38-0037","Minot International","Minot","ND","BIS","P",1,2009,"Acquire Snow Removal Equipment, Conduct Environmental Study, Rehabilitate Taxiway Lighting, Security Enhancements","3-38-0037-037-2009","MOT",310624.00,310624.00,0.00,0.00
"MOT","38-0037","Minot International","Minot","ND","BIS","P",1,2009,"Rehabilitate Taxiway Lighting","3-38-0037-038-2009","MOT",186349.00,186349.00,0.00,0.00
"MOT","38-0037","Minot International","Minot","ND","BIS","P",1,2009,"Improve Terminal Building","3-38-0037-039-2009","MOT",686212.00,686212.00,0.00,0.00
"HBC","38-0038","Mohall Municipal","Mohall","ND","BIS","GA",1,2005,"Construct Taxiway, Rehabilitate Runway - 13/31","3-38-0038-003-2005","HBC",103747.00,103747.00,0.00,0.00
"HBC","38-0038","Mohall Municipal","Mohall","ND","BIS","GA",1,2006,"Conduct Environmental Study, Rehabilitate Runway - 13/31","3-38-0038-004-2006","HBC",103900.00,103900.00,0.00,0.00
"HBC","38-0038","Mohall Municipal","Mohall","ND","BIS","GA",1,2008,"Rehabilitate Runway - 13/31","3-38-0038-005-2008","HBC",66487.00,66487.00,0.00,0.00
"HBC","38-0038","Mohall Municipal","Mohall","ND","BIS","GA",1,2009,"Acquire Snow Removal Equipment, Rehabilitate Apron, Rehabilitate Runway - 13/31, Rehabilitate Taxiway","3-38-0038-006-2009","HBC",154207.00,154207.00,0.00,0.00
"3P3","38-0039","Mott Municipal","Mott","ND","BIS","GA",1,2006,"Acquire Snow Removal Equipment, Construct Terminal Building, Extend Runway - 09/27, Rehabilitate Runway - 09/27","3-38-0039-004-2006","3P3",95249.00,93486.00,1763.00,0.00
"3P3","38-0039","Mott Municipal","Mott","ND","BIS","GA",1,2007,"Acquire Land For Approaches, Remove Obstructions","3-38-0039-005-2007","3P3",42242.00,42242.00,0.00,0.00
"3P3","38-0039","Mott Municipal","Mott","ND","BIS","GA",1,2008,"Extend Runway - 09/27, Rehabilitate Runway - 09/27, Remove Obstructions","3-38-0039-006-2008","3P3",139329.00,139329.00,0.00,0.00
"3P3","38-0039","Mott Municipal","Mott","ND","BIS","GA",1,2009,"Rehabilitate Runway - 09/27","3-38-0039-007-2009","3P3",1368421.00,0.00,0.00,1368421.00
"3P3","38-0039","Mott Municipal","Mott","ND","BIS","GA",1,2009,"Install Miscellaneous NAVAIDS, Rehabilitate Apron, Rehabilitate Runway Lighting - 09/27, Rehabilitate Taxiway","3-38-0039-008-2009","3P3",659212.00,659212.00,0.00,0.00
"4V4","38-0074","Northwood Municipal-Vince Field","Northwood","ND","BIS","GA",1,2005,"Construct Building, Rehabilitate Runway - 08/26","3-38-0074-006-2005","4V4",240166.00,240166.00,0.00,0.00
"4V4","38-0074","Northwood Municipal-Vince Field","Northwood","ND","BIS","GA",1,2006,"Construct Taxiway, Rehabilitate Runway - 08/26","3-38-0074-007-2006","4V4",111482.00,104916.00,6566.00,0.00
"4V4","38-0074","Northwood Municipal-Vince Field","Northwood","ND","BIS","GA",1,2007,"Acquire Snow Removal Equipment, Rehabilitate Runway - 08/26","3-38-0074-008-2007","4V4",111108.00,111108.00,0.00,0.00
"4V4","38-0074","Northwood Municipal-Vince Field","Northwood","ND","BIS","GA",1,2008,"Acquire Snow Removal Equipment, Construct Building","3-38-0074-009-2008","4V4",361240.00,361240.00,0.00,0.00
"4V4","38-0074","Northwood Municipal-Vince Field","Northwood","ND","BIS","GA",1,2008,"Construct Building","3-38-0074-010-2008","4V4",38760.00,38760.00,0.00,0.00
"2D5","38-0044","Oakes Municipal","Oakes","ND","BIS","GA",1,2005,"Acquire Snow Removal Equipment, Rehabilitate Runway - 12/30","3-38-0044-006-2005","2D5",81535.00,81535.00,0.00,0.00
"2D5","38-0044","Oakes Municipal","Oakes","ND","BIS","GA",1,2006,"Acquire Land For Approaches, Rehabilitate Runway - 12/30","3-38-0044-007-2006","2D5",96974.00,96974.00,0.00,0.00
"Y37","38-0045","Park River - W C Skjerven Field","Park River","ND","BIS","GA",1,2005,"Install Runway Lighting - 12/30","3-38-0045-003-2005","Y37",160854.00,156358.00,4496.00,0.00
"Y37","38-0045","Park River - W C Skjerven Field","Park River","ND","BIS","GA",1,2006,"Acquire Snow Removal Equipment, Rehabilitate Apron, Update Miscellaneous Study","3-38-0045-004-2006","Y37",165537.00,165537.00,0.00,0.00
"Y37","38-0045","Park River - W C Skjerven Field","Park River","ND","BIS","GA",1,2007,"Rehabilitate Runway - 12/30, Rehabilitate Runway - 12/30","3-38-0045-005-2007","Y37",50374.00,50374.00,0.00,0.00
"Y37","38-0045","Park River - W C Skjerven Field","Park River","ND","BIS","GA",1,2008,"Construct Snow Removal Equipment Building, Install Runway Lighting - 03/21, Rehabilitate Runway - 12/30","3-38-0045-006-2008","Y37",98409.00,98409.00,0.00,0.00
"Y74","38-0046","Parshall-Hankins","Parshall","ND","BIS","GA",1,2006,"Construct Fuel Farm, Construct Terminal Building, Rehabilitate Runway - 17/35","3-38-0046-004-2006","Y74",230384.00,229396.00,988.00,0.00
"Y74","38-0046","Parshall-Hankins","Parshall","ND","BIS","GA",1,2007,"Construct Fuel Farm, Expand Apron, Improve Access Road, Install Perimeter Fencing, Rehabilitate Runway - 12/30","3-38-0046-005-2007","Y74",216732.00,216732.00,0.00,0.00
"Y74","38-0046","Parshall-Hankins","Parshall","ND","BIS","GA",1,2008,"Construct Access Road, Improve Access Road, Install Perimeter Fencing, Rehabilitate Runway - 12/30","3-38-0046-006-2008","Y74",107110.00,107110.00,0.00,0.00
"PMB","38-0047","Pembina Municipal","Pembina","ND","BIS","GA",1,2005,"Improve Fuel Farm, Install Runway Vertical/Visual Guidance System - 15/33, Rehabilitate Runway - 15/33","3-38-0047-004-2005","PMB",90447.00,90447.00,0.00,0.00
"PMB","38-0047","Pembina Municipal","Pembina","ND","BIS","GA",1,2008,"Rehabilitate Runway - 15/33","3-38-0047-005-2008","PMB",47107.00,47107.00,0.00,0.00
"PMB","38-0047","Pembina Municipal","Pembina","ND","BIS","GA",1,2009,"Rehabilitate Apron, Rehabilitate Runway - 15/33, Rehabilitate Taxiway","3-38-0047-006-2009","PMB",941734.00,941734.00,0.00,0.00
"06D","38-0048","Rolla Municipal","Rolla","ND","BIS","GA",1,2006,"Acquire Snow Removal Equipment, Construct Fuel Farm, Rehabilitate Runway - 14/32","3-38-0048-005-2006","06D",295956.00,295015.00,941.00,0.00
"06D","38-0048","Rolla Municipal","Rolla","ND","BIS","GA",1,2007,"Construct Snow Removal Equipment Building, Rehabilitate Runway - 14/32","3-38-0048-006-2007","06D",187915.00,187915.00,0.00,0.00
"RUG","38-0049","Rugby Municipal","Rugby","ND","BIS","GA",1,2005,"Rehabilitate Runway - 12/30, Rehabilitate Taxiway","3-38-0049-006-2005","RUG",331883.00,331883.00,0.00,0.00
