Indent,Budget Function,Subsidyscope Title,Title as Appears in Budget,Source,Report Year,2000 Total,2001 Total,2002 Total,2003 Total,2004 Total,2005 Total,2006 Total,2007 Total,2008 Total,2009 Total,2010 Total,2011 Total,2012 Total,2013 Total,2014 Total,2015 Total,2016 Total,2000 Corp,2001 Corp,2002 Corp,2003 Corp,2004 Corp,2005 Corp,2006 Corp,2007 Corp,2008 Corp,2009 Corp,2010 Corp,2011 Corp,2012 Corp,2013 Corp,2014 Corp,2015 Corp,2016 Corp,2000 Indv,2001 Indv,2002 Indv,2003 Indv,2004 Indv,2005 Indv,2006 Indv,2007 Indv,2008 Indv,2009 Indv,2010 Indv,2011 Indv,2012 Indv,2013 Indv,2014 Indv,2015 Indv,2016 Indv
*,International affairs,Inventory property sales source rules exception,Inventory property sales source rules exception,Treasury,2012,,,,,,,,,,,2680.00,2910.00,3160.00,3430.00,3730.00,4050.00,4400.00,,,,,,,,,,,2680.00,2910.00,3160.00,3430.00,3730.00,4050.00,4400.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
*,International affairs,Special rules for interest-charge domestic international sales corporations,Special rules for interest-charge domestic international sales corporations,JCT,2010,,,,,,,,,400.00,500.00,500.00,100.00,100.00,,,,,,,,,,,,,400.00,500.00,500.00,100.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,
*,International affairs,Special rules for interest-charge domestic international sales corporations,Special rules for interest-charge domestic international sales corporations,JCT,2011,,,,,,,,,,500.00,500.00,100.00,100.00,100.00,,,,,,,,,,,,,500.00,500.00,100.00,100.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,
*,International affairs,Special rules for interest-charge domestic international sales corporations,Special rules for interest-charge domestic international sales corporations,JCT,2012,,,,,,,,,,,500.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,500.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,
*,International affairs,Taxation of real property gains of foreign persons,Taxation of real property gains of foreign persons*,JCT,2010,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,>-50,>-50,>-50,>-50,>-50,,,,,,,,,,,,,>-50,>-50,>-50,>-50,>-50,,,,,
*,International affairs,Taxation of real property gains of foreign persons,Taxation of real property gains of foreign persons*,JCT,2011,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,>-50,>-50,>-50,>-50,>-50,,,,,,,,,,,,,>-50,>-50,>-50,>-50,>-50,,,,
*,International affairs,Tonnage tax,Tonnage tax,JCT,2010,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,
*,International affairs,Tonnage tax,Tonnage tax,JCT,2011,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,
*,International affairs,Tonnage tax,Tonnage tax,JCT,2012,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,
*,National Defense,Deduction for overnight-travel expenses of National Guard and Reserve Members,Deduction for overnight-travel expenses of National Guard and Reserve Members,JCT,2006,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,
*,National Defense,Deduction for overnight-travel expenses of National Guard and Reserve Members,Deduction for overnight-travel expenses of National Guard and Reserve Members,JCT,2007,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,
*,National Defense,Deduction for overnight-travel expenses of National Guard and Reserve Members,Deduction for overnight-travel expenses of National Guard and Reserve Members,JCT,2008,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,
*,National Defense,Deduction for overnight-travel expenses of National Guard and Reserve Members,Deduction for overnight-travel expenses of National Guard and Reserve Members,JCT,2009,,,,,,,,0.00,0.00,0.00,0.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,<50,<50,<50,<50,100.00,,,,,,
*,National Defense,Deduction for overnight-travel expenses of National Guard and Reserve Members,Deduction for overnight-travel expenses of national guard and reserve members,JCT,2010,,,,,,,,,0.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,<50,100.00,100.00,100.00,100.00,,,,,
*,National Defense,Deduction for overnight-travel expenses of National Guard and Reserve Members,Deduction for overnight-travel expenses of national guard and reserve members,JCT,2011,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,
*,National Defense,Deduction for overnight-travel expenses of National Guard and Reserve Members,Deduction for overnight-travel expenses of national guard and reserve members,JCT,2012,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,
*,National Defense,Exclusion of benefits and allowances to armed forces personnel,Exclusion of benefits and allowances to armed forces personnel,Treasury,2001,2140.00,2160.00,2180.00,2200.00,2220.00,2240.00,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,2140.00,2160.00,2180.00,2200.00,2220.00,2240.00,,,,,,,,,,,,
*,National Defense,Exclusion of benefits and allowances to armed forces personnel,"Exclusion of benefits, allowances, and certain pays to armed forces personnel",Treasury,2002,2140.00,2160.00,2190.00,2210.00,2240.00,2260.00,2290.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,2140.00,2160.00,2190.00,2210.00,2240.00,2260.00,2290.00,,,,,,,,,,,
*,National Defense,Exclusion of benefits and allowances to armed forces personnel,Exclusion of benefits and allowances to armed forces personnel,Treasury,2003,,2160.00,2190.00,2210.00,2240.00,2260.00,2290.00,2310.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,2160.00,2190.00,2210.00,2240.00,2260.00,2290.00,2310.00,,,,,,,,,,
*,National Defense,Exclusion of benefits and allowances to armed forces personnel,Exclusion of benefits and allowances to armed forces personnel,Treasury,2004,,,2190.00,2210.00,2240.00,2260.00,2290.00,2310.00,2330.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,2190.00,2210.00,2240.00,2260.00,2290.00,2310.00,2330.00,,,,,,,,,
*,National Defense,Exclusion of benefits and allowances to armed forces personnel,Exclusion of benefits and allowances to armed forces personnel,Treasury,2005,,,,2210.00,2240.00,2260.00,2290.00,2310.00,2330.00,2350.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,2210.00,2240.00,2260.00,2290.00,2310.00,2330.00,2350.00,,,,,,,,
*,National Defense,Exclusion of benefits and allowances to armed forces personnel,Exclusion of benefits and allowances to armed forces personnel,Treasury,2006,,,,,2460.00,2490.00,2520.00,2540.00,2560.00,2590.00,2620.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,2460.00,2490.00,2520.00,2540.00,2560.00,2590.00,2620.00,,,,,,,
*,National Defense,Exclusion of benefits and allowances to armed forces personnel,Exclusion of benefits and allowances to armed forces personnel,Treasury,2007,,,,,,2990.00,3020.00,3050.00,3070.00,3110.00,3140.00,3170.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,2990.00,3020.00,3050.00,3070.00,3110.00,3140.00,3170.00,,,,,,
*,National Defense,Exclusion of benefits and allowances to armed forces personnel,Exclusion of benefits and allowances to armed forces personnel,Treasury,2008,,,,,,,3100.00,3220.00,3350.00,3480.00,3620.00,3780.00,3930.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,3100.00,3220.00,3350.00,3480.00,3620.00,3780.00,3930.00,,,,,
*,National Defense,Exclusion of benefits and allowances to armed forces personnel,Exclusion of benefits and allowances to armed forces personnel,Treasury,2009,,,,,,,,3220.00,3350.00,3480.00,3620.00,3780.00,3930.00,4090.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,3220.00,3350.00,3480.00,3620.00,3780.00,3930.00,4090.00,,,,
*,National Defense,Exclusion of benefits and allowances to armed forces personnel,Exclusion of benefits and allowances to armed forces personnel,Treasury,2010,,,,,,,,,11190.00,11710.00,10210.00,10550.00,10900.00,11270.00,11660.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,11190.00,11710.00,10210.00,10550.00,10900.00,11270.00,11660.00,,,
*,National Defense,Exclusion of benefits and allowances to armed forces personnel,Exclusion of benefits and allowances to armed forces personnel,Treasury,2011,,,,,,,,,,11930.00,12570.00,11530.00,11570.00,11920.00,12370.00,12860.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,11930.00,12570.00,11530.00,11570.00,11920.00,12370.00,12860.00,,
*,National Defense,Exclusion of benefits and allowances to armed forces personnel,Exclusion of benefits and allowances to armed forces personnel,Treasury,2012,,,,,,,,,,,12740.00,13290.00,13710.00,12200.00,12680.00,13190.00,13720.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,12740.00,13290.00,13710.00,12200.00,12680.00,13190.00,13720.00,
**,National Defense,Exclusion of benefits and allowances to armed forces personnel - Exclusion of benefits and allowances to armed forces personnel,Exclusion of benefits and allowances to Armed Forces personnel,JCT,2001,2000.00,2000.00,2100.00,2100.00,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,2000.00,2000.00,2100.00,2100.00,,,,,,,,,,,,,,
**,National Defense,Exclusion of benefits and allowances to armed forces personnel - Exclusion of benefits and allowances to armed forces personnel,Exclusion of benefits and allowances to Armed Forces personnel,JCT,2002,2000.00,1900.00,2000.00,2000.00,2000.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,2000.00,1900.00,2000.00,2000.00,2000.00,,,,,,,,,,,,,
**,National Defense,Exclusion of benefits and allowances to armed forces personnel - Exclusion of benefits and allowances to armed forces personnel,Exclusion of benefits and allowances to Armed Forces personnel,JCT,2003,,1900.00,2000.00,2000.00,2000.00,2000.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,1900.00,2000.00,2000.00,2000.00,2000.00,,,,,,,,,,,,
**,National Defense,Exclusion of benefits and allowances to armed forces personnel - Exclusion of benefits and allowances to armed forces personnel,Exclusion of benefits and allowances to Armed Forces personnel,JCT,2004,,,2300.00,2300.00,2400.00,2400.00,2400.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,2300.00,2300.00,2400.00,2400.00,2400.00,,,,,,,,,,,
**,National Defense,Exclusion of benefits and allowances to armed forces personnel - Exclusion of benefits and allowances to armed forces personnel,Exclusion of benefits and allowances to Armed Forces personnel,JCT,2005,,,,2500.00,2600.00,2600.00,2700.00,2800.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,2500.00,2600.00,2600.00,2700.00,2800.00,,,,,,,,,,
**,National Defense,Exclusion of benefits and allowances to armed forces personnel - Exclusion of benefits and allowances to armed forces personnel,Exclusion of benefits and allowances to Armed Forces personnel,JCT,2006,,,,,2700.00,2800.00,2800.00,2900.00,2900.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,2700.00,2800.00,2800.00,2900.00,2900.00,,,,,,,,,
**,National Defense,Exclusion of benefits and allowances to armed forces personnel - Exclusion of benefits and allowances to armed forces personnel,Exclusion of benefits and allowances to Armed Forces personnel,JCT,2007,,,,,,2900.00,2900.00,3000.00,3100.00,3100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,2900.00,2900.00,3000.00,3100.00,3100.00,,,,,,,,
**,National Defense,Exclusion of benefits and allowances to armed forces personnel - Exclusion of benefits and allowances to armed forces personnel,Exclusion of benefits and allowances to Armed Forces personnel,JCT,2008,,,,,,,2800.00,2800.00,2900.00,3000.00,3000.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,2800.00,2800.00,2900.00,3000.00,3000.00,,,,,,,
**,National Defense,Exclusion of benefits and allowances to armed forces personnel - Exclusion of benefits and allowances to armed forces personnel,Exclusion of benefits and allowances to Armed Forces personnel,JCT,2009,,,,,,,,3000.00,3200.00,3300.00,3400.00,3900.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,3000.00,3200.00,3300.00,3400.00,3900.00,,,,,,
**,National Defense,Exclusion of benefits and allowances to armed forces personnel - Exclusion of benefits and allowances to armed forces personnel,Exclusion of benefits and allowances to armed forces personnel,JCT,2010,,,,,,,,,3600.00,3900.00,4100.00,4400.00,4500.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,3600.00,3900.00,4100.00,4400.00,4500.00,,,,,
**,National Defense,Exclusion of benefits and allowances to armed forces personnel - Exclusion of benefits and allowances to armed forces personnel,Exclusion of benefits and allowances to armed forces personnel,JCT,2011,,,,,,,,,,3900.00,4000.00,4300.00,4500.00,4600.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,3900.00,4000.00,4300.00,4500.00,4600.00,,,,
**,National Defense,Exclusion of benefits and allowances to armed forces personnel - Exclusion of benefits and allowances to armed forces personnel,Exclusion of benefits and allowances to armed forces personnel,JCT,2012,,,,,,,,,,,4300.00,4700.00,4900.00,5100.00,5700.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,4300.00,4700.00,4900.00,5100.00,5700.00,,,
**,National Defense,Exclusion of benefits and allowances to armed forces personnel - Exclusion of combat pay,Exclusion of combat pay,JCT,2010,,,,,,,,,1400.00,1300.00,1100.00,900.00,900.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,1400.00,1300.00,1100.00,900.00,900.00,,,,,
**,National Defense,Exclusion of benefits and allowances to armed forces personnel - Exclusion of combat pay,Exclusion of combat pay,JCT,2011,,,,,,,,,,1100.00,900.00,800.00,800.00,800.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,1100.00,900.00,800.00,800.00,800.00,,,,
**,National Defense,Exclusion of benefits and allowances to armed forces personnel - Exclusion of combat pay,Exclusion of combat pay,JCT,2012,,,,,,,,,,,1200.00,1000.00,900.00,900.00,1000.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,1200.00,1000.00,900.00,900.00,1000.00,,,
*,National Defense,Exclusion of military disability benefits,Exclusion of military disability benefits,JCT,2001,100.00,100.00,100.00,100.00,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,100.00,100.00,100.00,100.00,,,,,,,,,,,,,,
*,National Defense,Exclusion of military disability benefits,Exclusion of military disability benefits,JCT,2002,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,
*,National Defense,Exclusion of military disability benefits,Exclusion of military disability benefits,JCT,2003,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,
*,National Defense,Exclusion of military disability benefits,Exclusion of military disability benefits,JCT,2004,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,
*,National Defense,Exclusion of military disability benefits,Exclusion of military disability benefits,JCT,2005,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,
*,National Defense,Exclusion of military disability benefits,Exclusion of military disability benefits,JCT,2006,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,
*,National Defense,Exclusion of military disability benefits,Exclusion of military disablity benefits,JCT,2007,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,
*,National Defense,Exclusion of military disability benefits,Exclusion of military disablity benefits,JCT,2008,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,
*,National Defense,Exclusion of military disability benefits,Exclusion of military disability benefits,JCT,2009,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,
*,National Defense,Exclusion of military disability benefits,Exclusion of military disability benefits,JCT,2010,,,,,,,,,200.00,200.00,200.00,200.00,200.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,200.00,200.00,200.00,200.00,200.00,,,,,
*,National Defense,Exclusion of military disability benefits,Exclusion of military disability benefits,JCT,2011,,,,,,,,,,200.00,200.00,200.00,200.00,200.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,200.00,200.00,200.00,200.00,200.00,,,,
*,National Defense,Exclusion of military disability benefits,Exclusion of military disability benefits,JCT,2012,,,,,,,,,,,200.00,200.00,200.00,200.00,200.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,200.00,200.00,200.00,200.00,200.00,,,
*,Agriculture,Bio-Diesel and small agri-biodiesel producer tax credits,Bio-Diesel tax credit,Treasury,2006,,,,,0.00,30.00,30.00,10.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,30.00,30.00,10.00,0.00,0.00,0.00,,,,,,,
*,Agriculture,Bio-Diesel and small agri-biodiesel producer tax credits,Bio-Diesel and small agri-biodiesel producer tax credits,Treasury,2007,,,,,,30.00,90.00,100.00,90.00,40.00,20.00,20.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,30.00,90.00,100.00,90.00,40.00,20.00,20.00,,,,,,
*,Agriculture,Bio-Diesel and small agri-biodiesel producer tax credits,Bio-Diesel and small agri-biodiesel producer tax credits,Treasury,2008,,,,,,,90.00,180.00,200.00,30.00,20.00,10.00,10.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,90.00,180.00,200.00,30.00,20.00,10.00,10.00,,,,,
*,Agriculture,Capital gains treatment of certain income,Capital gains treatment of certain income,Treasury,2001,665.00,695.00,725.00,760.00,795.00,830.00,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,665.00,695.00,725.00,760.00,795.00,830.00,,,,,,,,,,,,
*,Agriculture,Capital gains treatment of certain income,Capital gains treatment of certain income,Treasury,2002,700.00,740.00,780.00,820.00,860.00,900.00,950.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,700.00,740.00,780.00,820.00,860.00,900.00,950.00,,,,,,,,,,,
*,Agriculture,Capital gains treatment of certain income,Capital gains treatment of certain income,Treasury,2003,,990.00,1040.00,1100.00,1160.00,1220.00,1290.00,1360.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,990.00,1040.00,1100.00,1160.00,1220.00,1290.00,1360.00,,,,,,,,,,
*,Agriculture,Capital gains treatment of certain income,Capital gains treatment of certain income,Treasury,2004,,,1010.00,1060.00,1120.00,1180.00,1250.00,1310.00,1380.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,1010.00,1060.00,1120.00,1180.00,1250.00,1310.00,1380.00,,,,,,,,,
*,Agriculture,Capital gains treatment of certain income,Capital gains treatment of certain income,Treasury,2005,,,,1050.00,1100.00,1160.00,1220.00,1280.00,1350.00,1420.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,1050.00,1100.00,1160.00,1220.00,1280.00,1350.00,1420.00,,,,,,,,
*,Agriculture,Capital gains treatment of certain income,Capital gains treatment of certain income,Treasury,2006,,,,,670.00,730.00,760.00,820.00,990.00,720.00,580.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,670.00,730.00,760.00,820.00,990.00,720.00,580.00,,,,,,,
*,Agriculture,Capital gains treatment of certain income,Capital gains treatment of certain income,Treasury,2007,,,,,,880.00,870.00,900.00,1050.00,750.00,590.00,780.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,880.00,870.00,900.00,1050.00,750.00,590.00,780.00,,,,,,
*,Agriculture,Capital gains treatment of certain income,Capital gains treatment of certain income,Treasury,2008,,,,,,,880.00,940.00,950.00,950.00,1010.00,980.00,700.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,880.00,940.00,950.00,950.00,1010.00,980.00,700.00,,,,,
*,Agriculture,Capital gains treatment of certain income,Capital gains treatment of certain income,Treasury,2009,,,,,,,,980.00,1030.00,1030.00,1090.00,1060.00,760.00,800.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,980.00,1030.00,1030.00,1090.00,1060.00,760.00,800.00,,,,
*,Agriculture,Capital gains treatment of certain income,Capital gains treatment of certain income,Treasury,2010,,,,,,,,,1160.00,1130.00,1390.00,1190.00,1140.00,1300.00,1460.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,1160.00,1130.00,1390.00,1190.00,1140.00,1300.00,1460.00,,,
*,Agriculture,Capital gains treatment of certain income,Capital gains treatment of certain income,Treasury,2011,,,,,,,,,,700.00,610.00,590.00,550.00,680.00,830.00,970.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,700.00,610.00,590.00,550.00,680.00,830.00,970.00,,
*,Agriculture,Capital gains treatment of certain income,Capital gains treatment of certain income,Treasury,2012,,,,,,,,,,,490.00,500.00,520.00,580.00,630.00,780.00,930.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,490.00,500.00,520.00,580.00,630.00,780.00,930.00,
*,Agriculture,Cash accounting for agriculture,Cash accounting for agriculture,JCT,2001,500.00,600.00,600.00,600.00,,,,,,,,,,,,,,<50,<50,<50,<50,,,,,,,,,,,,,,500.00,600.00,600.00,600.00,,,,,,,,,,,,,,
*,Agriculture,Cash accounting for agriculture,Cash accounting for agriculture,JCT,2002,500.00,600.00,600.00,600.00,600.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,500.00,600.00,600.00,600.00,600.00,,,,,,,,,,,,,
*,Agriculture,Cash accounting for agriculture,Cash accounting for agriculture,JCT,2003,,300.00,400.00,400.00,400.00,500.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,300.00,400.00,400.00,400.00,500.00,,,,,,,,,,,,
*,Agriculture,Cash accounting for agriculture,Cash accounting for agriculture,JCT,2004,,,500.00,300.00,300.00,300.00,300.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,500.00,300.00,300.00,300.00,300.00,,,,,,,,,,,
*,Agriculture,Cash accounting for agriculture,Cash accounting for agriculture,JCT,2005,,,,400.00,700.00,700.00,700.00,700.00,,,,,,,,,,,,,<50,100.00,100.00,100.00,100.00,,,,,,,,,,,,,400.00,600.00,600.00,600.00,600.00,,,,,,,,,,
*,Agriculture,Cash accounting for agriculture,Cash accounting for agriculture,JCT,2006,,,,,300.00,300.00,300.00,300.00,300.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,300.00,300.00,300.00,300.00,300.00,,,,,,,,,
*,Agriculture,Cash accounting for agriculture,Cash accounting for agriculture,JCT,2007,,,,,,600.00,700.00,700.00,700.00,700.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,500.00,600.00,600.00,600.00,600.00,,,,,,,,
*,Agriculture,Deferral of gain on sale of farm refiners,Deferral of gain on sale of farm refiners,Treasury,2001,10.00,10.00,10.00,15.00,15.00,15.00,,,,,,,,,,,,10.00,10.00,10.00,15.00,15.00,15.00,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
*,Agriculture,Deferral of gain on sale of farm refiners,Deferral of gain on sale of farm refiners,Treasury,2002,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,,,,,,,,,,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,
*,Agriculture,Deferral of gain on sale of farm refiners,Deferral of gain on sale of farm refiners,Treasury,2003,,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,,,,,,,,,,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
*,Agriculture,Deferral of gain on sale of farm refiners,Deferral of gain on sale of farm refiners,Treasury,2004,,,10.00,10.00,10.00,10.00,10.00,10.00,20.00,,,,,,,,,,,10.00,10.00,10.00,10.00,10.00,10.00,20.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
*,Agriculture,Deferral of gain on sale of farm refiners,Deferral of gain on sale of farm refiners,Treasury,2005,,,,10.00,10.00,10.00,10.00,20.00,20.00,20.00,,,,,,,,,,,10.00,10.00,10.00,10.00,20.00,20.00,20.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
*,Agriculture,Deferral of gain on sale of farm refiners,Deferral of gain on sale of farm refiners,Treasury,2006,,,,,10.00,10.00,10.00,20.00,20.00,20.00,20.00,,,,,,,,,,,10.00,10.00,10.00,20.00,20.00,20.00,20.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
*,Agriculture,Deferral of gain on sale of farm refiners,Deferral of gain on sale of farm refiners,Treasury,2007,,,,,,10.00,10.00,20.00,20.00,20.00,20.00,20.00,,,,,,,,,,,10.00,10.00,20.00,20.00,20.00,20.00,20.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,
