/AA|Anchorage, AK: (Anchorage Mean)
LRN|Larson Air Force Base , WA: Larson Air Force Base Airport
LRO|Lathrop, CA: Sharpe Army Air Field
LRR|Unknown Code Description|
LRS|Leros, Gr|
LRT|Lorient, France: Lorient/Lann Bihoue
LRU|Las Cruces, NM: Las Cruces Municipal
LRV|Unknown Code Description|
LSA|Losuia, Papua New Guinea: Losuia Airport
LSC|La Serena, Chile: La Florida
LSD|Lexington, KY: Creech Army Air Field
LSE|La Crosse, WI: La Crosse Municipal
LSF|Columbus, GA: Lawson Army Air Field
LSH|Lashio, Mm|
LSI|Lerwick, United Kingdom: Sumburgh
LSL|Los Chiles, Costa Rica: Los Chiles Airport
LSM|Long Semado, My|
LSN|Los Banos, CA: Los Banos Airport
LSP|Las Piedras, Venezuela: Josefa Camejo
LSQ|Los Angeles, Chile: Los Angeles Airport
LSR|Lost River, AK: Lost River 1
LSS|Les Saintes, Guadeloupe-France: Terre De Haut
LST|Launceston, Australia: Launceston Airport
LSU|Long Sukang, Malaysia: Long Sukang Airport
LSV|Las Vegas, NV: Nellis Air Force Base
LSX|Lhok Sukon, Indonesia: Lhok Sukon Airport
LSY|Lismore, Au|
LSZ|Mali Losinj, Hr|
LTA|Tzaneen, Republic Of South Africa: Letaba
LTB|Latrobe, Australia: Latrobe Valley
LTD|Ghadames, Libya: Ghadames Airport
LTH|Lethem, Guyana: Lethem Airport
LTI|Altai, Mongolia: Altai Airport
LTK|Latakia, Sy|
LTL|Lastourville, Ga|
LTM|Lethem, Guyana: Lethem Airport
LTN|London, United Kingdom: Luton
LTO|Loreto, Mexico: Loreto Airport
LTQ|Le Touquet, France: Le Touquet/Paris Plage
LTS|Altus, OK: Altus Air Force Base
LTT|St. Tropez, Fr|
LTV|Lotusvale, Australia: Lotusvale Airport
LTX|Luxembourg, Luxembourg|
LUA|Lukla, Nepal: Lukla Airport
LUC|Laucala Island, Fj|
LUD|Luderitz, Namibia: Luderitz Airport
LUE|Lucenec, Slovakia: Lucenec Airport
LUF|Phoenix, AZ: Luke Air Force Base
LUG|Lugano, Switzerland: Lugano Airport
LUH|Ludhiana, In|
LUJ|Lusikisiki, Republic Of South Africa: Lusikisiki Airport
LUK|Cincinnati, OH: Lunken Field
LUL|Laurel, MS: Laurel Municipal
LUM|Maputo, Mozambique: Lourenco Marques
LUN|Lusaka, Zambia: Lusaka International
LUO|Luena, Ao|
LUP|Kalaupapa, HI: Kalaupapa Airport
LUQ|San Luis, Argentina: San Luis Airport
LUR|Cape Lisburne, AK: Cape Lisburne Afs
LUT|Laura Station, Australia: Laura Station Airport
LUV|Langgur, Id|
LUW|Luwuk, Id|
LUX|Luxembourg, Luxembourg: Luxembourg Airport
LVB|Livramento, Brazil: Livramento Airport
LVD|Lime Village, AK: Lime Village Airport
LVI|Livingstone, Zambia: Livingstone Airport
LVK|Livermore, CA: Livermore Municipal
LVM|Livingston, MT: Livingston Airport
LVO|Laverton, Australia: Laverton Airport
LVS|Las Vegas, NM: Las Vegas Airport
LWB|Lewisburg, WV: Greenbrier Valley
LWC|Lawrence, KS: Lawrence Municipal
LWE|Lewoleba, Id|
LWF|Lawrenceburg, TN: Lawrence County
LWH|Lawn Hill, Au|
LWK|Lerwick, Gb|
LWL|Wells, NV: Harriet Field
LWM|Lawrence, MA: Lawrence Municipal
LWN|Gyoumri, Am|
LWO|Lvov, Ukraine: Snilow
LWS|Lewiston, ID: Lewiston Nez Perce County
LWT|Lewistown, MT: Lewistown Municipal
LWV|Lawrenceville, IL: Lawrenceville/Vincennes Mun
LWY|Lawas, Malaysia: Lawas Airport
LXA|Lhasa, China: Lhasa Airport
LXG|Luang Namtha, La|
LXN|Lexington, NE: Jim Kelly Field
LXR|Luxor, Arab Republic Of Egypt: Luxor Airport
LXS|Lemnos, Greece: Lemnos Airport
LXV|Leadville, CO: Lake County
LYA|Luoyang, Cn|
LYB|Little Cayman, Cayman Islands: Edward Bodden
LYC|Lycksele, Sweden: Lycksele Airport
LYE|Lyneham, United Kingdom: Lyneham Airport
LYG|Lianyungang, Cn|
LYH|Lynchburg, VA: Lynchburg Mun/Preston Glenn
LYI|Linyi, Cn|
LYN|Lyon, France: Bron
LYP|Faisalabad, Pakistan: Faisalabad Airport
LYR|Longyearbyen, Norway: Longyearbyen Airport
LYS|Lyon, France: Saint Exupery
LYU|Ely, MN: Ely Municipal
LYX|Lydd, United Kingdom: London Ashford
LZC|Lazaro Cardenas, Mexico: Lazaro Cardenas Airport
LZH|Liuzhou, China: Liuzhou Airport
LZM|Lake Of The Ozarks, MO: Linn Creek/Grand Glaize Memorial
LZO|Luzhou, China: Luzhou Airport
LZR|Lizard Island, Australia: Lizard Island Airport
LZU|Lawrenceville, GA: Gwinnett County
MA1|Edgartown, MA: Katama Airpark
MAA|Madras, India: Madras Airport
MAB|Maraba, Brazil: Maraba Airport
MAC|Macon, GA: Herbert Smart Downtown
MAD|Madrid, Spain: Barajas
MAE|Madera, CA: Madera Municipal
MAF|Midland/Odessa, TX: Midland International
MAG|Madang, Papua New Guinea: Madang Airport
MAH|Mahon, Spain: Menorca
MAI|Mangochi, Malawi: Mangochi Airport
MAJ|Majuro, Marshall Islands: Marshall Islands International
MAK|Malakal, Sudan: Malakal Airport
MAL|Mangole, Indonesia|
MAM|Matamoros, Mexico: Matamoros International
MAN|Manchester, United Kingdom: Manchester Airport
MAO|Manaus, Brazil: Eduardo Gomes International
MAP|Mamai, Papua New Guinea: Mamai Airport
MAQ|Sena Maduereira, Brazil: Sena Madureira
MAR|Maracaibo, Venezuela: Venz  Lachinita International
MAS|Manus Isl., Papua New Guinea: Manus Isl
MAT|Matadi, Republic Of Congo: Matadi Airport
MAU|Maupiti, French Polynesia: Maupiti Fr. Polynesia
MAV|Maloelap Island, Mh|
MAW|Malden, MO: Malden Municipal
MAX|Matam, Senegal: Matam Ouro Sogui
MAY|Mangrove Cay, Bahamas: Clarence A Bain
MAZ|Mayaguez, PR: Eugenio Maria De Hostos
MBA|Mombasa, Kenya: Mombasa Airport
MBC|M'bigou, Ga|
MBD|Mmabatho, Za|
MBE|Monbetsu, Jp|
MBH|Maryborough, Australia: Maryborough Airport
MBI|Mbeya, Tanzania: Mbeya Airport
MBJ|Montego Bay, Jamaica: Sangster International
MBK|Matupa, Brazil: Matupa Airport
MBL|Manistee/Ludington, MI: Manistee/Blacker
MBO|Mamburao, Philippines: Mamburao
MBP|Moyobamba, Pe|
MBS|Saginaw/Bay City/Midland, MI: Tri City
MBT|Masbate, Philippines: Masbate Airport
MBU|Mbambanakira, Solomon Islands: Mbambanakira Airport
MBW|Moorabbin, Au|
MBX|Maribor, Slovenia: Maribor Airport
MBY|Moberley, MO: Omar N Bradley
MBZ|Maues, Brazil: Maues Airport
MCA|Macenta, Guinea: Macenta Airport
MCB|Mccomb, MS: Mccomb/Pike County John E Lewis
MCC|Sacramento, CA: Mcclellan Air Force Base
MCD|Mackinac Island, MI: Mackinac Island Airport
MCE|Merced, CA: Merced  Macready Regional
MCF|Tampa, FL: Macdill Air Force Base
MCG|Mcgrath, AK: Mc Grath
MCH|Machala, Ecuador: Gen M Serrano
MCI|Kansas City, MO: Kansas City International
MCJ|Maicao, Colombia: Maicao Airport
MCK|Mccook, NE: Mc Cook Municipal
MCL|Denali National Park, AK: Denali National Park Airport
MCM|Monte Carlo, Monaco: Monte Carlo Airport
MCN|Macon, GA: Lewis B Wilson International
MCO|Orlando, FL: Orlando International
MCP|Macapa, Brazil: Macapa Airport
MCQ|Unknown Code Description|
MCR|Melchor De Mencos, Guatemala: Melchor De Mencos Airport
MCS|Monte Caseros, Argentina: Monte Caseros Airport
MCT|Muscat, Oman: Seeb International
MCU|Montlucon, France: Gueret/Lepaud
MCV|Mac Arthur River, Australia: Mc Arthur Riv Aust.
MCW|Mason City, IA: Mason City Municipal
MCX|Makhachkala, Ru|
MCY|Maroochydore, Australia: Maroochydore Airport
MCZ|Maceio, Brazil: Palmares
MDA|San Antonio, TX: Martindale Army Air Field
MDB|Melinda, Belize: Melinda Airport
MDC|Menado, Indonesia: Sam Ratulangi
MDD|Midland/Odessa, TX: Midland Airpark
MDE|Medellin, Colombia: Jose Marie Cordova
MDG|Mudanjiang, China: Mudanjiang Airport
MDH|Carbondale, IL: Southern Illinois
MDI|Makurdi, Nigeria: Makurdi Airport
MDJ|Madras, OR: City County
MDK|Mbandaka, Republic Of Congo: Mbandaka Airport
MDL|Mandalay, Myanmar: Mandalay Airport
MDO|Middleton Island, AK: Middleton Island Airport
MDP|Mindiptana, Id|
MDQ|Mar Del Plata, Argentina: Mar Del Plata Airport
MDR|Medfra, AK: Medfra Airport
MDS|Middle Caicos, Turks and Caicos Islands-UK: Middle Caicos Airport
MDT|Harrisburg, PA: Harrisburg International  Olmsted Field
MDU|Mendi, Papua New Guinea: Mendi Airport
MDW|Chicago, IL: Chicago Midway
MDX|Mercedes, Argentina: Mercedes Aeroclub
MDY|Midway Island, TT: Sand Island Field
MDZ|Mendoza, Argentina: El Plumerillo
ME1|Rangeley, ME: Steve A Bean Municipal
MEA|Macae, Brazil: Macae Airport
MEB|Melbourne, Australia: Melbourne/Essendon
MEC|Manta, Ecuador: Eloy Alfaro
MED|Medina, Saudi Arabia: Medina Airport
MEE|Mare, Nc|
MEG|Malange, Ao|
MEH|Mehamn, No|
MEI|Meridian, MS: Key Field
MEJ|Meadville, PA: Meadville Airport
MEL|Melbourne, Australia: Tullamarine International
MEM|Memphis, TN: Memphis International
MEN|Mende, France: Brenoux
MEO|Manteo, NC: Dare County Regional
MEP|Mersing, Malaysia: Mersing Malay.
MEQ|Meulaboh, Indonesia: Seunagan
MER|Atwater, CA: Castle
MES|Medan, Indonesia: Polonia
MEU|Monte Dourado, Br|
MEV|Minden, NV: Minden-Tahoe
MEW|Mweka, Zaire|
MEX|Mexico City, Mexico: Lic Benito Juarez International
MEY|Meghauli, Nepal: Meghauli
MEZ|Messina, Za|
MFA|Mafia Island, Tanzania: Mafia
MFD|Mansfield, OH: Mansfield Lahm Municipal
MFE|Mission/Mcallen/Edinburg, TX: Miller International
MFF|Moanda, Gabon: Moanda Airport
MFG|Muzaffarabad, Pakistan: Muzaffarabad Airport
MFH|Mesquite, NV: Mesquite Airport
MFI|Marshfield, WI: Marshfield Municipal
MFJ|Moala, Fj|
MFK|Matsu, Tw|
MFM|Macau, Macau: Macau Airport
MFN|Milford Sound, New Zealand: Milford Sound Airport
MFO|Ras Nasrani, Pg|
MFQ|Maradi, Niger: Maradi Airport
MFR|Medford, OR: Medford Jackson County
MFS|Miraflores, Colombia: Miraflores Airport
MFT|Fort Worth, TX: Mangham Field
MFU|Mfuwe, Zambia: Mfuwe Airport
MFV|Melfa, VA: Accomack County
MFW|Magaruque, Mz|
MFZ|Meselia, Pg|
MGA|Managua, Nicaragua: Las Mercedes
MGB|Mount Gambier, Australia: Mount Gambier Aust.
MGC|Michigan City, IN: Michigan City Airport
MGD|Magdalena, Bolivia: Magdalena Airport
MGE|Marietta, GA: Dobbins Air Force Base
MGF|Maringa, Brazil: Maringa Airport
MGH|Margate, Za|
MGJ|Montgomery, NY: Orange County
MGL|Dusseldorf, Germany: Moenchen-Gladbach
MGM|Montgomery, AL: Dannelly Field
MGN|Magangue, Colombia: Baracoa
MGP|Manga, Pg|
MGQ|Mogadishu, Somalia: Mogadiscio International
MGR|Moultrie/Thomasville, GA: Moultrie/Thomasville Airport
MGS|Mangaia, Cook Islands-New Zealand: Mangaia Cook Island
MGT|Milingimbi, Au|
MGV|Margaret River, Au|
MGW|Morgantown, WV: Morgantown Municipal
MGX|Moabi, Ga|
MGY|Dayton, OH: Montgomery County
MGZ|Myeik, Mm|
MHA|Mahdia, Guyana: Mahdia Airport
MHB|Auckland, New Zealand: Mechanics Bay Sea Plane Base
MHD|Mashhad, Iran: Mashhad Airport
MHE|Mitchell, SD: Mitchell Municipal
MHG|Mannheim, Germany: Mannheim Neuostheim
MHH|Marsh Harbour, Bahamas: Marsh Harbour Airport
MHK|Manhattan/Ft. Riley, KS: Manhattan Municipal
MHL|Marshall, MO: Marshall Memorial Municipal
MHM|Minchumina, AK: Minchumina Airport
MHO|Mount House, Australia: Mount House Airport
MHP|Minsk, By|
MHQ|Mariehamn, Finland: Mariehamn Airport
MHR|Sacramento, CA: Mather Air Force Base
MHT|Manchester, NH: Boston Regional
MHU|Meghauli, Nepal: Meghauli Airport
MHV|Mojave, CA: Mojave Airport
MHW|Monteagudo, Bolivia: Moneagudo
MHX|Manihiki Island, Ck|
MHZ|Mildenhall, United Kingdom: Mildenhall Airport
MI1|Greenville, MI: Greenville Municipal
MI2|Holland, MI: Tulip City
MI3|Howell, MI: Livingston County Spencer J. Hardy
MIA|Miami, FL: Miami International
MIB|Minot, ND: Minot Air Force Base
MIC|Minneapolis, MN: Crystal
MID|Merida, Mexico: Manuel Crecencio Rejon International
MIE|Muncie/Anderson/Newcastle, IN: Delaware Co/Johnson Field
MIG|Unknown Code Description|
MII|Marilia, Brazil: Marilia Airport
MIJ|Mili, Marshall Islands: Mili Airport
MIK|Mikkeli, Finland: Mikkeli Airport
MIL|Milan, Italy: (Metropolitan Area)
MIM|Merimbula, Australia: Merimbula Airport
MIN|Minnipa, Australia: Minnipa Airport
MIO|Miami, OK: Miami Municipal
MIP|Mitspeh Ramon, Israel: Har Arikha
MIQ|Omaha, NE: Millard
MIR|Monastir, Tunisia: Monastir
MIS|Misima Island, Papua New Guinea: Misima
MIT|Shafter, CA: Shafter - Minter Field
MIU|Maiduguri, Nigeria: Maiduguri Airport
MIV|Millville, NJ: Millville Municipal
MIW|Marshalltown, IA: Marshalltown Municipal
MIX|Miriti, Colombia: Miriti Pirana
MIZ|Mainoru, Australia: Mainoru Airport
MJA|Manja, Madagascar: Manja Airport
MJB|Mejit Island, Marshall Islands: Mejit
MJC|Man, Cote d Ivoire (formerly Ivory Coast): Man
MJD|Mohenjo Daro, Pakistan: Mohenjodero
MJE|Majkin, Mh|
MJF|Mosjoen, Norway: Kjaerstad
MJG|Mayajigua, Cuba: Mayajigua Airport
MJI|Mitiga, Libya: Mitiga
MJJ|Moki, Pg|
MJK|Monkey Mia, Au|
MJL|Mouila, Gabon: Mouila Airport
MJM|Mbuji-Mayi, Republic Of Congo: Mbuji Mayi
MJN|Majunga, Madagascar: Majunga/Amborovy
MJO|Mount Etjo Lodge, Na|
MJQ|Jackson, MN: Jackson Airport
MJR|Unknown Code Description|
MJT|Mytilene, Greece: Mitilini
MJV|Murcia, Spain: Murcia Airport
MJX|Toms River, NJ: Rbt. J. Miller
MJZ|Mirnyj, Russia (Asian): Mirnyj Airport
MKA|Marianske Lazne, Czech Republic: Marianske Lazne Airport
MKB|Mekambo, Ga|
MKC|Kansas City, MO: Kansas City Downtown
MKE|Milwaukee, WI: General Mitchell Field
MKF|Columbus, GA: Mckenna Army Air Field
MKG|Muskegon, MI: Muskegon County
MKI|Obo Mboki, Central African Republic: Obo Mboki
MKJ|Makoua, Congo: Makoua Airport
MKK|Hoolehua, HI: Molokai
MKL|Jackson, TN: Mckellar Field
MKM|Mukah, Malaysia: Mukah Airport
MKN|Malekolon, Pg|
MKO|Muskogee, OK: Davis Field
MKP|Mckinley Park, AK: Mckinley Park Airport
MKQ|Merauke, Id|
MKR|Meekatharra, Australia: Meekatharra Airport
MKS|Mekane, Ethiopia: Mekane Airport
MKT|Mankato, MN: Mankato Municipal
MKU|Makokou, Gabon: Makokou Airport
MKW|Manokwari, Indonesia: Rendani
MKY|Mackay, Australia: Mackay Airport
MKZ|Malacca, Malaysia: Malacca Airport
MLA|Malta Island, Malta: Marsaxlokk Sea Plane Base
MLB|Melbourne, FL: Melbourne Regional
MLC|Mcalester, OK: Mc Alester Municipal
MLD|Malad City, ID: Malad City Airport
MLE|Male, Maldives: Male International
MLF|Milford, UT: Milford Municipal
MLG|Malang, Indonesia: Abdul Rachman Saleh
MLH|Mulhouse, France: Bale/Mulhouse
MLI|Moline, IL: Quad/City
MLK|Malta, MT: Malta Airport
MLL|Marshall, AK: Marshall Airport
MLM|Morelia, Mexico: Morelia New
MLN|Melilla, Spain: Melilla Airport
MLO|Milos, Greece: Milos Airport
MLP|Malabang, Philippines: Malabang
MLQ|Malalaua, Papua New Guinea: Malalaua Airport
MLS|Miles City, MT: Miles City Airport
MLT|Millinocket, ME: Millinocket Municipal
MLU|Monroe, LA: Huenefeld
MLV|Merluna, Australia: Merluna Airport
MLW|Monrovia/Robertsfield, Liberia: Sprigg-Payne
MLX|Malatya, Turkey: Malatya Airport
MLY|Manley Hot Springs, AK: Manley Hot Springs Airport
MLZ|Melo, Uruguay: Melo Airport
MMA|Malmo, Sweden: Metropolitan Area
MMB|Memanbetsu, Japan: Memanbetsu Airport
MMC|Ciudad Mante, Mexico: Ciudad Del Mante
MMD|Minami Daito, Japan: Minami Daito Airport
MME|Tees-Side, United Kingdom: Tees Side
MMG|Mount Magnet, Au|
MMH|Mammoth Lakes, CA: Mammoth Lakes Airport
MMI|Athens, TN: Mcminn County
MMJ|Matsumoto, Japan: Matsumoto
MMK|Murmansk, Russia (European): Murmansk Airport
MML|Marshall, MN: Marshall Muni/Ryan Field
MMM|Middlemount, Australia: Middlemount Airport
MMN|Stow, MA: Minute Man Airfield
MMO|Maio, Cv|
MMP|Mompos, Colombia: Mompos Airport
MMQ|Mbala, Zambia: Mbala Airport
MMT|Columbia, SC: Mc Entire Ang Base
MMU|Morristown, NJ: Morristown Municipal
MMX|Malmo, Sweden: Sturup
MMY|Miyako Jima, Japan: Hirara
MMZ|Maimana, Afghanistan|
MN1|Fosston, MN: Fosston Municipal
MN2|Moose Lake, MN: Moose Lake Carlton County
MN3|Ortonville, MN: Ortonville Municipal- Martinson Field
MNA|Melanguane, Id|
MNB|Moanda, Republic Of Congo: Muanda
MNC|Nacala, Mozambique: Nacala Airport
MNE|Mungaranie, South Australia|
MNF|Mana Island, Fj|
MNG|Maningrida, Au|
MNI|Montserrat, Montserrat: Gerald
MNJ|Mananjary, Mg|
MNK|Maiana, Kiribati (Gilbert and Canton Islands): Maiana Airport
MNL|Manila, Philippines: Manila International
MNM|Marinette, MI: Menominee County
MNN|Marion, OH: Marion Municipal
MNO|Manono, Republic Of Congo: Manono Airport
MNP|Maron, Pg|
MNR|Mongu, Zambia: Mongu Airport
MNS|Mansa, Zambia: Mansa
MNT|Minto, AK: Minto Airport
MNU|Maulmyine, Myanmar: Mawlamyine
MNX|Manicore, Brazil: Manicore Airport
MNY|Mono, Sb|
MNZ|Manassas, VA: Manassas Municipal V
MO1|Mosby, MO: Midwest National Air Center
MO2|Washington, MO: Washington Memorial Regional
MOA|Moa, Cuba: Moa Airport
MOB|Mobile, AL: Mobile Regional
MOC|Montes Claros, Brazil: Montes Claros Airport
MOD|Modesto, CA: Modesto City County
MOF|Maumere, Id|
MOG|Monghsat, Myanmar: Monghsat Airport
MOH|Mohanbari, India: Mohanbari Airport
MOI|Mitiaro Island, Ck|
MOL|Molde, Norway: Aaro
MOM|Moudjeria, Mauritania: Moudjeria Ledfotar
MON|Mount Cook, New Zealand: Mount Cook Airport
MOO|Unknown Code Description|
MOP|Mount Pleasant, MI: Mt Pleasant Municipal
MOQ|Morondava, Madagascar: Morondava Airport
MOR|Morristown, TN: Moore-Murrell
MOS|Moses Point, AK: Moses Point Airport
MOT|Minot, ND: Minot International
MOU|Mountain Village, AK: Mountain Village Airport
MOV|Moranbah, Au|
MOW|Moscow, Russia (European): Metropolitan Area
MOX|Oaxaca, Mexico: Oacaca
MOY|Monterrey, Colombia: Monterrey Airport
MOZ|Moorea Island, French Polynesia: Temae
MPA|Mpacha, Na|
MPB|Miami, FL: Public Sea Plane Base
MPD|Mirpur Khas, Pk|
MPH|Malay, Ph|
MPI|Montpelier, ID: Montpelier Airport
MPJ|Morrilton, AR: Petit Jean
MPK|Mokpo, South Korea: Mokpo Airport
MPL|Montpellier, France: Frejorgues
MPM|Maputo, Mozambique: Maputo Airport
MPN|Mount Pleasant, Falkland Islands-UK: Mount Pleasant Airport
MPO|Mt. Pocono, PA: Pocono Mountains Municipal
MPR|Mcpherson, KS: Mcpherson Airport
MPS|Mount Pleasant, TX: Mount Pleasant Municipal
MPT|Maliana, East Timor-Indonesia: Maliana Airport
MPU|Mapua, Pg|
MPV|Montpelier/Barre, VT: Edward F Knapp State
MPW|Mariupol, Ua|
MPX|Miyanmin, Papua New Guinea: Miyanmin Airport
MPY|Unknown Code Description|
MQB|Macomb, IL: Macomb Airport
MQF|Magnitogorsk, Ru|
MQH|Minacu, Br|
MQJ|Balikesir, Turkey|
MQL|Mildura, Australia: Mildura Airport
MQM|Unknown Code Description|
MQN|Mo-I-Rana, Norway: Rossvoll
MQP|Nelspruit, Republic Of South Africa: Kruger Mpumalanga International
MQQ|Moundou, Chad: Moundou Airport
MQS|Mustique, St. Vincent and North Grenadines: Mustique Airport
MQT|Marquette, MI: Sawyer International
MQX|Makale, Ethiopia: Alula Aba Nega
MQY|Smyrna, TN: Smyrna Airport
MQZ|Unknown Code Description|
MRA|Misurata, Libya: Misurata
MRB|Martinsburg, WV: Martinsburg Municipal
MRC|Columbia, TN: Maury County
MRD|Merida, Venezuela: Merida Airport
MRE|Mara Lodges, Ke|
MRH,Morehead City: Beaufort Morehead City
MRI|Anchorage, AK: Merrill Field
MRJ|Marcala, Honduras: Marcala Airport
MRK|Marco Island, FL: Marco Island Airport
MRM|Manari, Pg|
MRN|Morganton, NC: Morganton Lenoir
MRO|Masterton, Nz|
MRQ|Marinduque, Philippines: Marinduque Airport
MRS|Marseille, France: Marseille/Marignane
MRU|Mauritius Island, Mauritius: Plaisance
MRV|Mineralnye Vody, Russia (European): Mineralnye Vody Airport
MRX|Margarita Island, Venezuela: Del Caribe International
MRY|Monterey, CA: Peninsula
MRZ|Moree, Australia: Moree Airport
MS1|Grenada, MS: Grenada Municipal
MSA|Muskrat Dam, Canada: Muskrat Dam
MSC|Mesa, AZ: Falcon Field
MSD|Mossoro, Brazil: Mossoro
MSE|Manston, United Kingdom: Manston Airport
MSH|Masirah, Oman: Raf Station
MSJ|Misawa, Japan: Misawa Ab
MSL|Muscle Shoals, AL: Northwest Alabama Regional
MSN|Madison, WI: Truax Field
MSO|Missoula, MT: Johnson/Bell Field
MSP|Minneapolis, MN: Minneapolis-St Paul International
MSQ|Minsk, Belarus: Minsk Airport
MSR|Muenster, Germany: Munster/Osnabruck
MSS|Massena, NY: Richards Field
MST|Maastricht, Netherlands: Maastricht/Zuid Limburg
MSU|Maseru, Lesotho: Leabua Jonathan
MSV|Monticello, NY: Sullivan County International
MSW|Massawa, Eritrea: Massawa Airport
MSY|New Orleans, LA: Louis Armstrong International
MSZ|Namibe, Angola: Namibe Airport
MT1|Colstrip, MT: Colstrip
MTC|Mt. Clemens, MI: Selfridge Angb
MTD|Mt. Sandford, Australia: Mount Sanford
MTE|Monte Alegre, Brazil: Monte Alegre Airport
MTF|Mizan Teferi, Et|
MTH|Marathon, FL: Marathon Flight Strip
MTI|Mosteiros, Cv|
MTJ|Montrose/Delta, CO: Montrose County
MTK|Makin Island, Ki|
MTL|Maitland, Australia: Maitland Airport
MTM|Metlakatla, AK: Metlakatala
MTN|Baltimore, MD: Glen L Martin
MTO|Mattoon/Charleston, IL: Coles County Memorial
MTP|Montauk Point, NY: Sky Portal
MTR|Monteria, Colombia: San Jeronimo
MTS|Manzini, Swaziland: Matsapa
MTT|Minatitlan, Mexico: Minatitlan Airport
MTV|Mota Lava, Vanuatu: Mota Lava Airport
MTW|Manitowoc/Sheboygan, WI: Manitowoc Municipal
MTX|Fairbanks, AK: Metro Field
MTY|Monterrey, Mexico: Gen Mariano Escobedo International
MTZ|Masada, Israel: Israel Bar Yehuda
MUA|Munda, Solomon Islands: Munda Airport
MUB|Maun, Botswana: Maun Airport
MUC|Munich, Germany: Munchen
MUD|Mueda, Mozambique|
MUE|Kamuela, HI: Waimea Kohala
MUG|Mulege, Mexico: Mulege
MUH|Mersa Matruh, Arab Republic Of Egypt: Mersa Matruh Airport
MUK|Mauke Island, Ck|
MUL|Moultrie, GA: Spence Air Force Base  Ga.
MUN|Maturin, Venezuela: Maturin Airport
MUO|Mountain Home, ID: Mountain Home Air Force Base
MUR|Marudi, Malaysia: Marudi Airport
MUT|Muscatine, IA: Muscatine Municipal
MUW|Mascara, Dz|
MUX|Multan, Pakistan: Multan Airport
MUY|Toolik, AK: Toolik Camp
MUZ|Musoma, Tanzania: Musoma Airport
MVA|Myvatn, Iceland|
MVB|Mvengue, Gabon: Mvengue Gabon
MVD|Montevideo, Uruguay: Carrasco
MVF|Mossoro, Brazil: Dixsept Rosado
MVJ|Mandeville, Jamaica: Mandeville Airport
MVL|Morrisville, VT: Morrisville Stowe State
MVM|Kayenta, AZ: Kayenta Airport
MVN|Mount Vernon, IL: Mt Vernon/Outland
MVP|Mitu, Co|
MVQ|Mackinac Island, MI: Mackinac County
MVR|Maroua, Cameroons: Maroua Ville
MVS|Mucuri, Br|
MVT|Mataiva, Pf|
MVW|Mount Vernon, WA: Skagit Regional/Bay View
MVX|Minvoul, Ga|
MVY|Martha's Vineyrd, MA: Marthas Vineyard
MVZ|Masvingo, Zimbabwe: Masvingo Airport
MWA|Marion/Herrin, IL: Williamson County
MWC|Milwaukee, WI: Lawrence J Timmerman
MWD|Mianwali, Pakistan: Mianwali
MWE|Merowe, Sd|
MWF|Maewo, Vu|
MWH|Moses Lake, WA: Grant County
MWI|Maramuni, Pg|
MWL|Mineral Wells, TX: Mineral Wells Airport
MWM|Windom, MN: Windom Municipal
MWO|Middletown, OH: Hook Field Municipal
MWP|Unknown Code Description|
MWQ|Magwe, Myanmar: Magway
MWU|Mussau, Pg|
MWV|Mundulkiri, Kh|
MWZ|Mwanza, Tanzania: Mwanza Airport
MXB|Masamba, Indonesia: Masamba Airport
MXC|Monticello, UT: San Juan County
MXE|Maxton, NC: Laurinburg-Maxton
MXF|Montgomery, AL: Maxwell Air Force Base
MXG|Marlboro, MA: Marlboro Airport
MXH|Moro, Papua New Guinea: Moro Airport
MXJ|Minna, Nigeria: Minna
MXK|Unknown Code Description|
MXL|Mexicali, Mexico: Mexicali Southwest
MXM|Morombe, Mg|
MXP|Milan, Italy: Malpensa
MXS|Maota, Western Samoa: Maota Airport
MXT|Maintirano, Madagascar: Maintirano Airport
MXV|Unknown Code Description|
MXW|Unknown Code Description|
MXX|Mora, Sweden: Mora Sweden
MXY|Mccarthy, AK: Mccarthy Airport
MXZ|Meixian, Cn|
MYA|Moruya, Australia: Moruya
MYB|Mayoumba, Gabon: Mayoumba Airport
MYC|Maracay, Venezuela: Maracay Airport
MYD|Malindi, Kenya: Malindi Airport
MYE|Miyake Jima, Japan: Miyake Jima Airport
MYF|San Diego, CA: Montgomery Field
MYG|Mayaguana, Bahamas: Mayaguana Airport
MYH|Marble Canyon, AZ: Cliff Dwellers Lodge
MYI|Murray Islands, Au|
MYJ|Matsuyama, Japan: Matsuyama Airport
MYK|May Creek, AK: May Creek Airport
MYL|Mccall, ID: Mc Call
MYP|Mary, Turkmenistan: Mary Airport
MYR|Myrtle Beach, SC: Myrtle Beach International Airport
MYT|Myitkyina, Myanmar: Myitkyina Airport
MYU|Mekoryuk, AK: Mekoryuk Airport
MYV|Marysville, CA: Yuba County
MYW|Mtwara, Tanzania: Mtwara Airport
MYX|Menyamya, Pg|
MYY|Miri, Malaysia: Lutong
MYZ|Mactan, Philippines: Mactan International
MZB|Mocimboa Da Praia, Mozambique: Mocimboa Da Praia Airport
MZC|Mitzic, Ga|
MZG|Makung, Taiwan: Ma Kung Ab
MZI|Mopti, Mali: Mopti Airport
MZJ|Marana, AZ: Pinal Airpark
MZK|Marakei, Kiribati (Gilbert and Canton Islands): Marakei Airport
