JCT Title,Budget Function,JCT Estimate Year Range,Description
Apportionment of research and development expenses for determination of foreign tax credits,International affairs,2008-2014,"<p>The federal government taxes firms incorporated in the United States on their worldwide income but taxes foreign-based firms on their U.S. income only. When a U.S. firm earns foreign income through a foreign subsidiary, U.S. taxes apply to that income only when it is repatriated to the U.S. parent firm in the form of dividends, royalties, or other income; the foreign income is exempt from U.S. taxation as long as it remains in the control of the foreign subsidiary.</p>

<p>When the foreign-source income is repatriated, the U.S. parent corporation can claim a credit against its U.S. tax liability for any foreign taxes the subsidiary has paid on that income. The credit cannot exceed the U.S. tax due on the foreign-source income. It is intended to avoid double taxation of repatriated foreign income. Excess credits incurred in tax years beginning after October 22, 2004 may be carried back one year and then carried forward up to 10 years. </p>

<p>Federal tax law requires U.S. multinational corporations to allocate deductible expenses that could be related to both foreign and domestic income, such as interest payments and spending on research and development (R&D), between U.S. and foreign earnings.</p> 

<p>The allocation of research expenses between foreign-source and U.S.- source income is governed by a set of regulations (Reg. 1.861-17) issued by the Internal Revenue Service (IRS) in 1995. They proceed on the assumption that research expenses ordinarily deducted under section 174 are 41 related to all income associated with broad product categories and can be allocated to all sources of that income, such as sales, royalties, or dividends.</p>
"
Deduction for foreign taxes instead of a credit,International affairs,2008-2014,"<p>An above-the-line deduction is available for un-reimbursed overnight travel, meals, and lodging expenses of National Guard and Reserve members. In order to qualify for the provision, he or she must have traveled more than 100 miles away from home and stayed overnight as part of an activity while on official duty. </p>"
Interest expense allocation,International affairs,2008-2014,"<p>Current law applies the fungibility principle to interest allocation in a manner sometimes referred to as waters edge allocation. Under this 68 system, foreign subsidiaries are not explicitly included in the allocation. This has two implications for the allocation formula. First, only a domestic parents equity stake in its foreign subsidiary is counted as an asset  excluding the foreign subsidiarys assets financed by debt. The parents assets, in contrast, are all included in the calculationwhether financed by equity or debt. Secondly, the subsidiarys interest expense is automatically allocated to foreign sources. This occurs since the subsidiarys interest expense reduces dividend payments to the parent, which are all allocated to foreign source income. </p>

<p>Under current law, beginning in 2021, the U.S. will allocate interest expense using a worldwide allocation regime. Under a worldwide allocation, the borrowing of foreign subsidiaries would be taken into account.</p>
"
Special rules for interest-charge domestic international sales corporations,International affairs,2008-2014,"<p>An Interest Charge Domestic Sales Corporations (IC-DISC) is a domestic corporation, usually formed by parent shareholders (e.g., corporations, individuals, and trusts) to be a tax-exempt subsidiary, which exports U.S. products. The parent company pays the IC-DISC a tax deductible commission attributable to qualified export sales. Because the ICDISC pays no tax, distributions (actual or deemed) to IC-DISC shareholders are taxed only once, often at the lower individual dividend and capital gains tax rates. As a result, the after tax return to shareholders is enhanced.</p>

<p>IC-DISC shareholders may defer up to $10 million that is attributable to qualified export sales. An interest charge is imposed on shareholders, however, based on the distribution that would have occurred had deferral not been elected. The $10 million deferral restriction was intended to limit the benefit of IC-DISC activity to smaller businesses.</p>
"
Taxation of real property gains of foreign persons*,International affairs,2008-2013,"<p>The Foreign Investment in Real Property Tax Act of 1980 The Foreign Investment in Real Property Tax Act of 1980 (FIRPTA) explicitly classifies the disposition of a U.S. real property interest as effectively connected with U.S. trade or business. Therefore, the net capital gain or loss from the disposition of U.S. real property by a foreigner is subject to U.S. personal and/or corporate income taxes. U.S. real property interests include parcels of real property as well as certain shares in U.S. real property holding corporations. </p>
"
Tonnage tax,International affairs,2008-2014,"<p>All domestic corporations in the United States are subject to tax on their worldwide income. To limit the extent of double taxation, U.S. firms with foreign-source income are allowed a credit against foreign paid taxes. The U.S. also only taxes foreign corporate income sufficiently connected to trade or business in the U.S.. Such foreign corporate income is subject to the same tax as domestic corporate income. </p>

<p>Corporations involved in shipping trade and business operations may, as an alternative to the conventional corporate income tax, elect to pay the tonnage tax. The tonnage tax is a tax on a notional shipping income (rather than on corporate income); the tax rate is equal to the highest corporate income tax rate, which is currently 35%. </p> <p>This tax expenditure corresponds with the Treasury tax expenditure ""Deferral of tax on shipping companies,"" found in the Transportation Budget Function and available <a href=""http://subsidyscope.org/tax_expenditures/db/group/92/?estimate=3&year=2001"">here</a>.</p>
"
Exclusion of certain subsidies to employers who maintain prescription drug plans for Medicare enrollees,Medicare,2004-2014,"<p>The Medicare program has four components: Parts A , B, C, and D. Part D offers a voluntary outpatient prescription drug benefit that began on January 1, 2006. Every individual enrolled in Medicare Parts A or B, or who receives Medicare benefits through a private health plan under Part C, is eligible to enroll in a qualified prescription drug plan.</p>
<p>Federal subsidies are available to encourage widespread participation by low-income Medicare beneficiaries, and to prevent large numbers of public and private employers and unions that offer prescription drug benefits to Medicare-eligible retirees from dropping or sharply cutting this coverage. Public and private employers and unions electing the subsidy payments must agree to subject their drug benefits for retirees to continuing federal scrutiny.</p>
<p>In 2010 and 2011, the subsidy payments from this program are equal to 28 percent of a qualified retirees allowable gross prescription drug costs between $310 and $6,300. This means that the maximum subsidy for a qualified retiree in each year is $1764. Employers who choose to receive subsidy payments are allowed to exclude them from their taxable income under both the regular income tax and the alternative minimum tax. In addition, an employer may disregard any subsidy it receives in calculating its deduction for health benefits for current employees and retirees. For tax years starting on or after January 1, 2013, employers will be required to reduce that deduction by the amount of any subsidy received, subjecting the subsidy to taxation.</p>
"
Hospital insurance (Part A),Medicare,2000-2014,"<p>The Medicare program has four main components: Parts A, B, C, and D. Part A offers hospital insurance (HI). It covers most of the cost of in-patient hospital care and as much as 100 days a year of skilled nursing facility care, home health care, and hospice care for individuals who are age 65 and over or disabled.</p>

<p>Medicare Part A is financed primarily by a payroll tax levied on the earnings of current workers. The tax rate is 2.90 percent, and there is no ceiling on the earnings subject to the tax. Self-employed individuals pay the full rate, while employees and employers each pay 1.45 percent. The employers share of the payroll tax is excluded from an employees taxable income. Moreover, the expected lifetime value of Part A benefits under current law exceeds the amount of payroll tax contributions by current beneficiaries. These excess benefits are excluded from the taxable income of Medicare Part A beneficiaries.</p>
"
Prescription drug insurance (Part D),Medicare,2004-2014,"<p>The Medicare program has four main components: Parts A, B, C, and D. Part D provides an outpatient prescription drug benefit, which went into effect on January 1, 2006. The benefit is offered through stand-alone private prescription drug plans (PDPs) and Medicare Advantage (MA) plans, such as health maintenance organizations, that provide all Medicare benefits, including coverage for outpatient prescription drugs. Unlike other Medicare services, Medicare beneficiaries can obtain the drug benefit only by enrolling in one of those plans, which are open to anyone entitled to Medicare Part A and/or enrolled in Medicare Part B.</p>

<p>Part D plans offer either a defined standard benefit or an alternative benefit that is actuarially equivalent. They may also offer enhanced benefits. Funding for Part D comes from a combination of enrollee premiums, state contributions (through the so-called clawback provision), and general federal revenues. In keeping with the tax treatment of benefits received by beneficiaries under Parts A and B of Medicare, transfers from the general fund of the U.S. Treasury and state governments to pay for the cost of the drug benefit not covered by premiums are excluded from the taxable income of enrollees.</p>
"
Supplementary medical insurance (Part B),Medicare,2000-2014,"<p>The Medicare program has four main components: Parts A, B, C and D. Part B of Medicare provides supplementary medical insurance (SMI). Among the services covered under Part B are certain physician services, outpatient hospital services, and durable medical equipment.</p> 

<p>Unlike Part A of Medicare, participation in SMI is voluntary. Enrollees must pay a minimum monthly premium that varies over time. The program generally pays for 80 percent of Medicare's fee schedule or other approved amounts after a beneficiary satisfies an annual deductible, which is $155 in 2010. Premiums are set to cover 25 percent of the program's estimated costs for most recipients; the remaining 75 percent is funded out of general revenues. Transfers from the general fund of the U.S. Treasury to pay for the cost of covered services are excluded from the taxable income of enrollees.</p>
"
Deduction for overnight-travel expenses of national guard and reserve members,National Defense,2004-2014,"<p>An above-the-line deduction is available for un-reimbursed overnight travel, meals, and lodging expenses of National Guard and Reserve members. In order to qualify for the provision, he or she must have traveled more than 100 miles away from home and stayed overnight as part of an activity while on official duty.</p>"
Exclusion of military disability benefits,National Defense,2000-2014,"<p>Members of the armed forces on or before September 24, 1975, are eligible for tax exclusion of disability pay. The payment from the Department of Defense is based either on the percentage-of-disability or years-of-service methods.</p> <p>Members of the United States armed forces joining after September 24, 1975, and who retire on disability, may exclude from gross income Department of Defense disability payments equivalent to disability payments they could have received from the Department of Veterans Affairs.</p>  <p>Under the Victims of Terrorism Tax Relief Act of 2001 an exclusion from gross income for disability income is extended to any individual (civilian or military) when attributable to a terrorist or military action regardless of where the activity occurs (inside or outside the United States).</p> <p>This tax expenditure corresponds with the Treasury tax expenditure ""Tax credit and deduction for clean-fuel burning vehicles,"" found in the Income Security Budget Function and available <a href="""">here</a>.</p>"
Amortization of certified pollution control facilities,Natural resources and environment,2006-2010,"<p>This provision makes the pre-1976, 5-year, option to amortize investments in pollution control equipment for coal-fired electric generation plants available to those plants placed in service on or after January 1, 1976. Qualifying pollution control equipment means any technology that is installed in or on a qualifying facility to reduce air emissions of any pollutant regulated by the Environmental Protection Agency (EPA) under the Clean Air Act. This includes scrubber systems, particulate collectors and removal equipment (such as electrostatic precipitators), thermal oxidizers, vapor recovery systems, low nitric oxide burners, flare systems, bag houses, cyclones, and continuous emission monitoring systems. The pollution control equipment needs to have been placed in service after April 11, 2005.</p>"
Exclusion of contributions in aid of construction for water and sewer utilities,Natural resources and environment,2000-2014,"<p>Contributions in aid of construction are charges paid by utility customers, usually builders or developers, to cover the cost of installing facilities to service housing subdivisions, industrial parks, manufacturing plants, etc. In some cases, the builder/developer transfers completed facilities to the utility rather than paying cash to the utility to finance construction of the facilities.</p>

<p>Qualifying contributions in aid of construction received by regulated water and sewage disposal utilities which provide services to the general public in their service areas are not included in the utilities gross income if the contributions are spent for the construction of the facilities within 2 years after receipt of the contributions.</p>
"
Exclusion of earnings of certain environmental settlement funds,Natural resources and environment,2007-2014,"<p>An environmental settlement fund will be exempt from taxation if the following conditions are satisfied: 1) it is established pursuant to a consent decree entered by a judge of a United States District Court; 2) it is created for the receipt of settlement payments as directed by a government entity for the sole purpose of resolving or satisfying one or more claims asserting liability under the Comprehensive Environmental Response, Compensation, and Liability Act of 1980; 3) the authority and control over the expenditure of funds therein (including the expenditure of contributions thereto and any net earnings thereon) is with such government entity; and 4) upon termination, any remaining funds will be disbursed to such government entity (in this case the EPA) for use in accordance with applicable law.</p>"
"Gain or loss in the case of timber, coal, or domestic iron ore",Natural resources and environment,2008-2012,<p>A taxpayer who has held standing timber or the right to cut timber for a year (including ornamental evergreens cut after six years) may elect to treat the income from the stand or cut timber as a capital gain. Lessors of coalmining or iron ore rights who retain an economic interest in production may also treat income as a capital gain. Percentage depletion is not available to the lessor when tax rates on capital gains are lower than ordinary rates.</p>
Refund of deemed tax payment for allocation of qualified forestry conservation bond limitation ,Natural resources and environment,2009-2013,"<p>The Food, Conservation, and Energy Act of 2008 (P.L. 110-234) created qualified forestry conservation bonds (FCBs), a new type of tax credit bond. Generally, governments and non-profit entities would issue the bonds and use the bond proceeds to buy forest land. The FCBs are intended to encourage the purchase and conservation of forest land by governments and non-profit entities.</p>

<p>For purposes of the FCB program, a qualified forestry conservation purpose must meet the following qualifications: </p>
<p>(1) Some portion of the land acquired must be adjacent to United State Forest Service Land.</p>
<p>(2) At least half of the land acquired must be transferred to the United States Forest Service at no net cost to the United States and not more than half of the land acquired may either remain with or be conveyed to a State. </p>
<p>(3) All of the land must be subject to a native fish habitat conservation plan approved by the United States Fish and Wildlife Service.</p>
<p>(4) The amount of acreage acquired must be at least 40,000 acres.<p>
"
Special depreciation allowance for certain reuse and recycling property,Natural resources and environment,2008-2014,"<p>Certain reuse and recycling property is eligible for a special depreciation allowance that allows 50% of the cost to be expensed when incurred. The remainder is depreciated based on the regular class life. To qualify, the property must be machinery and equipment, not including buildings but including software necessary to operate the equipment, used exclusively to collect, distribute, or recycle qualified reuse and recyclable materials. </p>"
Special rules for mining reclamation reserves,Natural resources and environment,2000-2014,"<p>Firms are generally not allowed to deduct a future expense until economic performance occurs that is, until the service they pay for is performed and the expense is actually paid. Electing taxpayers may, however, deduct the current-value equivalent of certain estimated future reclamation and closing costs for mining and solid waste disposal sites. </p>

<p>For federal income tax purposes, the amounts deducted prior to economic performance are deemed to earn interest at a specified interest rate. When the reclamation has been completed, any excess of the amounts deducted plus deemed accrued interest over the actual reclamation or closing costs is taxed as ordinary income.</p>
"
Special tax rate for nuclear decommissioning reserve funds,Natural resources and environment,2000-2014,"<p>Taxpayers who are responsible for the costs of decommissioning nuclear power plants (e.g., utilities) can elect to create reserve funds to be used to pay for decommissioning. The funds receive special tax treatment: amounts contributed to a reserve fund are deductible in the year made and are not included in the taxpayers gross income until the year they are distributed, thus effectively postponing tax on the contributed amounts. Amounts actually spent on decommissioning are deductible in the year they are made. The funds investments, however, are subject to a 20% tax rate a lower rate than that which applies to most other corporate income. The amount that can be contributed to an account is the amount the Internal Revenue Service (IRS) determines would provide funding for the actual decommissioning costs when they occur.</p>"
Treatment of income from exploration and mining of natural resources as qualifying income under the publicly-traded partnership rules,Natural resources and environment,2008-2014,"<p>Code Sec. 7704, with a noteworthy exception, generally treats a publicly traded partnership (PTP) as a corporation for federal income tax purposes. For this purpose, a PTP is any partnership that is traded on an established securities market or secondary market.</p>

<p>A notable exception to Sec. 7704 occurs if 90 percent of the gross income of a PTP is passive-type income, such as interest, dividends, real property rents, gains from the disposition of real property, and similar income or gains. In these cases, the PTP is exempt from corporate level taxation, thus allowing it to claim pass-through status for tax purposes.</p>

<p>Qualifying income includes interest, dividends, real property rents, gain from the disposition of real property, income and gains from certain natural resource activities, gain from the disposition of a capital asset (e.g., selling stock), or certain property held for the production of income, as well as certain income and gains from commodities. In addition, income derived from the exploration, development, mining or production, processing, refining, transportation, or the marketing of any mineral or natural resource are treated as qualifying income for publicly traded partnerships.</p>
"
Deduction for clean fuel vehicles and refueling property,Transportation,2004-2008,"<p>There is no definition available for this tax expenditure in the 2006 or 2008 Congressional Research Service's <em>Tax Expenditures: Compendium of Background Material on Individual Provisions</em>.</p><p>This tax expenditure corresponds with the Treasury tax expenditure ""Tax credit and deduction for clean-fuel burning vehicles,"" found in the Energy Sector and available <a href=""/tax_expenditures/db/group/62/?estimate=3&year=2001"">here</a>."
Exclusion of interest on State and local government bonds for high-speed rail,Transportation,2000-2007,<p>There is no definition available for this tax expenditure in the 2006 or 2008 Congressional Research Service's <em>Tax Expenditures: Compendium of Background Material on Individual Provisions</em>.</p>
"Exclusion of interest on State and local government qualified private activity bonds for private airports, docks, and mass-commuting facilities",Transportation,2010-2014,"<p>Interest income on state and local bonds used to finance the construction of government-owned airports, docks, wharves, and mass-commuting facilities, such as bus depots and subway stations, is tax exempt. These airport, dock, and wharf bonds are classified as private-activity bonds rather than governmental bonds because a substantial portion of their benefits accrues to individuals or business rather than to the general public.</p><p>This tax expenditure corresponds with the tax expenditure Exclusion of interest for airport, dock, and similar bonds,"" found in the Community and Regional Development Budget Function and available <a href="""">LINK HERE</a>.</p>"
High-speed intercity rail vehicle speed requirement for exempt high-speed rail facility bonds,Transportation,2009-2014,"<p>The Technical and Miscellaneous Revenue Act of 1988, P.L. 100-647, enacted on November 10, 1988, created a new class of tax-exempt, qualified private activity bonds for the financing of high-speed intercity rail projects. Seventy-five percent of the bonds issued for high-speed rail projects are exempt from the federally imposed annual state volume cap on private activity bonds. This cap is equal to the greater of $90 per capita or $273.775 million in 2010. </p>

<p>Before enactment of the American Recovery and Reinvestment Act (ARRA, P.L. 111-5), qualified projects must have used vehicles that were reasonably expected to operate at speeds in excess of 150 miles per hour. This tax expenditure is for the change in the law that occurred with the enactment of the ARRA. Now, under current law, high-speed rail projects will qualify if vehicles are capable of traveling at 150 miles per hour.</p>
"
